"Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto",
"JAPON,PUERTO BARRIOS,12/09/2017, 8703236900,2003,MAZDA,PROTEGE5,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,8626.44,1035.17,",
"ESTADOS UNIDOS,TECUN UMAN,12/09/2017, 8701930000,1978,MASSEY FERGUSON,285,5200,PESADO,TRACTOR AGRICOLA,OCASIONAL,DIESEL,1,0,3,36605.84,4392.7,",
"ESTADOS UNIDOS,PUERTO BARRIOS,12/09/2017, 8703236900,2007,HONDA,CIVIC EX,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,20366.56,2443.99,",
"ESTADOS UNIDOS,PUERTO BARRIOS,12/09/2017, 8703248000,2002,CHEVROLET,ASTRO LT,4300,LIVIANO,MICROBUS,OCASIONAL,GASOLINA,7,3,0,12979.76,1557.57,",
"BRASIL,EXPRESS AEREO,13/09/2017, 8711309000,2017,HONDA,XRE 300,300,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,56576.51,6789.18,",
"BRASIL,EXPRESS AEREO,13/09/2017, 8711309000,2017,HONDA,XRE 300,300,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,56576.51,6789.18,",
"JAPON,PUERTO BARRIOS,12/09/2017, 8703237900,2007,HONDA,CR-V EX-L 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,23939.64,2872.76,",
"CANADA,PUERTO BARRIOS,12/09/2017, 8703237900,2010,TOYOTA,RAV-4 SPORT 2WD,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,39325.76,4719.09,",
"JAPON,EL CARMEN,12/09/2017, 8703249000,1996,LEXUS,LS 400,4000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,21000.96,2520.12,",
"JAPON,SANTO TOMAS DE CASTILLA,12/09/2017, 8703237900,2008,MAZDA,MAZDA5,2300,LIVIANO,MICROBUS,OCASIONAL,GASOLINA,6,4,0,14204.82,1704.58,",
"JAPON,EL CARMEN,12/09/2017, 8703236900,1985,TOYOTA,VAN LE SR5 GT,2000,LIVIANO,MICROBUS,OCASIONAL,GASOLINA,9,3,0,17354.96,2082.6,",
"JAPON,EL CARMEN,12/09/2017, 8711209000,2005,SUZUKI,DR-Z 125L,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,5983.3,718,",
"JAPON,EL CARMEN,12/09/2017, 8703237900,2008,HONDA,CR-V LX 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,34855.76,4182.69,",
"REINO UNIDO,EL CARMEN,12/09/2017, 8703237900,2004,HONDA,CR-V LX 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,16188.24,1942.59,",
"COREA DEL SUR,G1"," INTEGRADA,13/09/2017, 8703236900,2007,KIA,SPORTAGE LX 2WD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,14569.42,1748.33,"
"JAPON,G1"," INTEGRADA,13/09/2017, 8703236900,1999,TOYOTA,RAV4 2WD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,27089.78,3250.77,"
"ESTADOS UNIDOS,TECUN UMAN,09/09/2017, 8704315100,1999,TOYOTA,TACOMA  4WD,2700,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,19542.32,2345.08,",
"ESTADOS UNIDOS,TECUN UMAN,09/09/2017, 8716390000,2000,GREAT DANE,7311TP-S,0,PESADO,FURGON,OCASIONAL,OTROS,0,1,20,27273.58,6327.47,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"JAPON,G8"," CENTRALSA,11/09/2017, 8703236900,2009,MITSUBISHI,LANCER,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11292.32,1355.08,"
"MEXICO,G8"," CENTRALSA,11/09/2017, 8703236900,2012,FORD,FIESTA SE,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12929.25,1551.51,"
"ESTADOS UNIDOS,TECUN UMAN,08/09/2017, 8704315100,2006,HONDA,RIDGELINE 4X4,3500,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,4,1,27018.34,3242.2,",
"JAPON,TECUN UMAN,08/09/2017, 8704315100,1992,TOYOTA,4X4,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,15168.19,1820.18,",
"JAPON,TECUN UMAN,08/09/2017, 8704315100,1986,TOYOTA,REGULAR CAB 2WD,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,3,2,1,23480.36,2817.64,",
"JAPON,EL CARMEN,08/09/2017, 8703236900,2001,MAZDA,PROTEGE DX,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17355.91,2082.71,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"INDIA,PUERTO QUETZAL,20/09/2017, 8711209000,2017,HONDA,SHINE SP 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,334540.01,40144.8,",
"JAPON,PUERTO BARRIOS,12/09/2017, 8704315100,1988,TOYOTA,4X4,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,9698.36,1163.8,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
"CHINA,PUERTO QUETZAL,12/09/2017, 8711209000,2018,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,572648.12,68717.77,",
