"ALEMANIA REP. FED.,TECUN UMAN,09/05/2017, 8703236900,2006,AUDI,A4,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,20819.57,2498.35,",
"ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,22/05/2017, 8703236900,2006,AUDI,TT CONVERTIBLE,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,2,2,0,21176.84,2541.22,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,23/05/2017, 8703236900,2010,AUDI,A4 2.0 T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,31599.18,3791.9,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,23/05/2017, 8703236900,2011,AUDI,A4 QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,28958.58,3475.03,",
"HUNGRIA,PUERTO BARRIOS,19/05/2017, 8703236900,2004,AUDI,TT QUATTRO,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,2,2,0,17971.98,2156.64,",
"ALEMANIA REP. FED.,TECUN UMAN,15/05/2017, 8703236900,2004,AUDI,A4 1.8T QUATTRO,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11769.3,1412.32,",
"SLOVAKIA,PUERTO BARRIOS,24/05/2017, 8703236900,2015,AUDI,Q5 2.0T QUATTRO AWD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,111228.19,13347.38,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,23/05/2017, 8703249000,2012,AUDI,Q5 QUATTRO S LINE 4X4,3200,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,73312.33,8797.48,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,05/06/2017, 8703236900,2005,AUDI,A4 1.8T QUATTRO,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,10287.83,1234.54,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,16/05/2017, 8703236900,2006,AUDI,A4 2.0 T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14690.4,1762.85,",
"SLOVAKIA,TECUN UMAN,12/05/2017, 8703236900,2015,AUDI,Q5 PREMIUM 4WD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,69285.2,8314.22,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,06/06/2017, 8703249000,2007,AUDI,AUDI Q7 QUATTRO PREMIUM,3600,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,45428.56,5451.43,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,19/05/2017, 8703236900,2013,AUDI,A4 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,47532.06,5703.85,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,30/05/2017, 8703236900,2006,AUDI,A4 QUATTRO,2000,LIVIANO,CAMIONETILLA,OCASIONAL,GASOLINA,5,4,0,7738.29,928.59,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,09/05/2017, 8703236900,2010,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,39783.13,4773.98,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,09/05/2017, 8703249000,2008,AUDI,Q7 QUATTRO,3600,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,52327.69,6279.32,",
"ALEMANIA REP. FED.,EL CARMEN,15/05/2017, 8703237900,2007,AUDI,A4,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17452.3,2094.28,",
"ALEMANIA REP. FED.,G8"," CENTRALSA,22/05/2017, 8703236900,2003,AUDI,A4 1.8T QUATTRO,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,9765.82,1171.9,"
"ESTADOS UNIDOS,TECUN UMAN,12/05/2017, 8711109000,1999,ATK,50MX,50,LIVIANO,MOTO,OCASIONAL,OTROS,1,0,0,3077.68,369.32,",
"ITALIA,EXPRESS AEREO,30/05/2017, 87115090,2017,APRILIA,TUONO V4 1100 FACTORY,1077,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,102338.53,12280.62,",
"ITALIA,G8"," CENTRALSA,19/05/2017, 8711409000,2008,APRILIA,SL 750 SHIVER,750,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,19744.54,2369.34,"
"ITALIA,EXPRESS AEREO,30/05/2017, 87115090,2017,APRILIA,CAPONORD 1200 RALLY,1197,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,103335.04,12400.2,",
"ITALIA,EXPRESS AEREO,30/05/2017, 87115090,2017,APRILIA,TUONO V4 1100 FACTORY,1077,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,102338.53,12280.62,",
"ITALIA,EXPRESS AEREO,30/05/2017, 87115090,2017,APRILIA,TUONO V4 1100 FACTORY,1077,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,102338.53,12280.62,",
"ALEMANIA REP. FED.,TECUN UMAN,03/06/2017, 8703237900,2004,BMW,3 SERIES 330XI,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,35836.38,4300.37,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,18/05/2017, 8703237900,2002,BMW,330XI,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12596.03,1511.52,",
"ESTADOS UNIDOS,TECUN UMAN,15/05/2017, 8703237900,2006,BMW,X5 3.0I 4X4,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,21177.42,2541.29,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,17/05/2017, 8703237900,2008,BMW,X3 3.0 SI,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,30862.31,3703.48,",
"ALEMANIA REP. FED.,G8"," CENTRALSA,08/05/2017, 8703236900,2014,BMW,328I,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,91682.38,11001.89,"
"ESTADOS UNIDOS,PUERTO BARRIOS,29/05/2017, 8703237900,2011,BMW,X3 XDRIVE35i,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,80388.65,9646.64,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,09/05/2017, 8703237900,2008,BMW,328XI,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13593.61,1631.23,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,10/05/2017, 8703237900,2006,BMW,X3 3.0I,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,13963.64,1675.64,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,29/05/2017, 8703237900,2007,BMW,X3 4WD,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,26708,3204.96,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,20/05/2017, 8703237900,2006,BMW,3-SERIES 325I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16284.81,1954.18,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,13/05/2017, 8703237900,2007,BMW,328I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,19344.19,2321.3,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,30/05/2017, 8703236900,2008,BMW,X3 3.0 SI 4X4,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,25816.33,3097.96,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,22/05/2017, 8703237900,2010,BMW,328i,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,24146.58,2897.59,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,23/05/2017, 8703249000,2002,BMW,745 LI,4400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,19386.41,2326.37,",
"JAPON,PUERTO QUETZAL,22/05/2017, 8703236900,2005,BMW,SERIE 1,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,27307.49,3276.9,",
"ALEMANIA REP. FED.,G1"," INTEGRADA,25/05/2017, 8703237900,1991,BMW,3 SERIES 325I CONVERT,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,11066.31,1327.96,"
"ALEMANIA REP. FED.,PUERTO BARRIOS,09/05/2017, 8703237900,2009,BMW,3 SERIES 328XI,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,15280.89,1833.71,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,06/06/2017, 8703237900,2004,BMW,325I,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13819.69,1658.36,",
"ALEMANIA REP. FED.,TECUN UMAN,09/05/2017, 8703237900,2006,BMW,325I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16689.4,2002.73,",
"ALEMANIA REP. FED.,TECUN UMAN,15/05/2017, 8703237900,2012,BMW,128I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,37456.45,4494.77,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,30/05/2017, 8703237900,2007,BMW,5 SERIES 525i,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,15622.89,1874.75,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,12/05/2017, 8703237900,2010,BMW,3-SERIES 328I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,32081.44,3849.77,",
"ALEMANIA REP. FED.,G8"," CENTRALSA,18/05/2017, 8703237900,2001,BMW,3-SERIES 330I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,10712.34,1285.48,"
"ALEMANIA REP. FED.,PUERTO BARRIOS,15/05/2017, 8703237900,2004,BMW,X3 3.0I AWD,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,24037.76,2884.53,",
"ALEMANIA REP. FED.,TECUN UMAN,12/05/2017, 8703237900,2007,BMW,X3  3.0  Si  4WD,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,22863.98,2743.68,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,13/05/2017, 8703237900,2008,BMW,328I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,15127.77,1815.33,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,29/05/2017, 8703236900,2016,BMW,328XI GRAN TURISMO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,96069.4,11528.33,",
"ESTADOS UNIDOS,PUERTO BARRIOS,31/05/2017, 8703237900,2013,BMW,X3 XDRIVE28I,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,45314.07,5437.69,",
"ALEMANIA REP. FED.,EL CARMEN,21/05/2017, 8703237900,2007,BMW,X3 4WD,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,35797.24,4295.67,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,18/05/2017, 8703249000,2012,BMW,650I CONVERTIBLE,4400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,138554.08,16626.49,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,09/05/2017, 8703237900,2008,BMW,X3 3.0 SI AWD,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,18963.56,2275.63,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,23/05/2017, 8703237900,2008,BMW,528I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,19753.16,2370.38,",
"ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,23/05/2017, 8703237900,2014,BMW,X6 XDRIVE35I AWD,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,116758.53,14011.02,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,23/05/2017, 8703237900,2001,BMW,X5 3.0I 4X4,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,16599.11,1991.89,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,11/05/2017, 8703226900,2018,BMW,X1 SDRIVE18I,1499,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,173071.83,20768.62,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,11/05/2017, 8703226900,2018,BMW,X1 SDRIVE18I,1499,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,177254.14,21270.5,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,11/05/2017, 8703226900,2018,BMW,X1 SDRIVE18I,1499,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,177254.14,21270.5,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,11/05/2017, 8703326900,2018,BMW,X1 SDRIVE18D,1995,LIVIANO,CAMIONETA,OCASIONAL,DIESEL,5,5,0,190073.66,22808.84,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,11/05/2017, 8703236900,2018,BMW,420I GRAN COUPE,1998,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,221507.47,26580.9,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,17/05/2017, 8703237900,2001,BMW,X5 3.0I,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,11942.19,1433.06,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,24/05/2017, 8703237900,2006,BMW,325I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,28252.84,3390.34,",
"ALEMANIA REP. FED.,EL CARMEN,12/05/2017, 8711409000,2009,BMW,G650GS,650,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,12542.56,1505.11,",
"ALEMANIA REP. FED.,EL CARMEN,18/05/2017, 8703237900,2008,BMW,X3 AWD 3.0Si,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,33968.23,4076.19,",
"JAPON,PUERTO QUETZAL,19/05/2017, 8703236900,2005,BMW,MINI,1590,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,3,0,19843.99,2381.28,",
"ESTADOS UNIDOS,PUERTO BARRIOS,05/06/2017, 8703237900,2006,BMW,X5 3.0i,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,27422.05,3290.65,",
"ALEMANIA REP. FED.,TECUN UMAN,06/06/2017, 8703237900,2006,BMW,330Xi,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12151.04,1458.12,",
"ESTADOS UNIDOS,PUERTO BARRIOS,06/06/2017, 8703237900,2004,BMW,X5 3.0I AWD,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,17002.63,2040.32,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,18/05/2017, 8703237900,2006,BMW,X3,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,22875.22,2745.03,",
"ESTADOS UNIDOS,PUERTO BARRIOS,11/05/2017, 8703236900,1998,BMW,Z3 CONVERTIBLE,1900,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,2,2,0,16045.48,1925.46,",
"ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,16/05/2017, 8703237900,2006,BMW,X5 3.0I 4X4,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,15167.13,1820.06,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,22/05/2017, 8703237900,2009,BMW,CONVERTIBLE 135i IIIM,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,28986.16,3478.34,",
"CANADA,PUERTO BARRIOS,30/05/2017, 8703236900,1972,BMW,2002,1990,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,71540.57,8584.87,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,25/05/2017, 8703237900,2006,BMW,325I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,19367.93,2324.15,",
"ESTADOS UNIDOS,PUERTO BARRIOS,29/05/2017, 8703249000,2003,BMW,X5 4.6IS,4600,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,30361.7,3643.4,",
"ALEMANIA REP. FED.,TECUN UMAN,29/05/2017, 8703237900,2010,BMW,128i,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,22701.43,2724.17,",
"ALEMANIA REP. FED.,TECUN UMAN,02/06/2017, 8703237900,2007,BMW,X3 3.0 Si   AWD,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,23606.39,2832.77,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,06/06/2017, 8703237900,2008,BMW,528XI,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17774.48,2132.94,",
"ALEMANIA REP. FED.,TECUN UMAN,02/06/2017, 8703237900,2006,BMW,325i,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16946.86,2033.62,",
"ESTADOS UNIDOS,PUERTO BARRIOS,02/06/2017, 8703237900,2011,BMW,X3 XDRIVE28I,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,40466.88,4856.03,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,25/05/2017, 8703237900,2008,BMW,328Xi,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,19918.57,2390.23,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,26/05/2017, 8703237900,2008,BMW,3 SERIES 328i,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,34411.62,4129.39,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,06/06/2017, 8703237900,2004,BMW,X3 2.5I 4X4,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,17553.95,2106.47,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,07/06/2017, 8703237900,2007,BMW,X3,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,26692.74,3203.13,",
