"Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto",
"CANADA,PUERTO BARRIOS,18/05/2017, 8703249000,2003,ACURA,MDX TOURING 4WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,21115.58,2533.87,",
"JAPON,PUERTO BARRIOS,15/05/2017, 8703236900,2005,ACURA,RSX TYPES,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,20774.11,2492.89,",
"CANADA,EL CARMEN,21/05/2017, 8703249000,2008,ACURA,MDX SH-AWD,3700,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,37469.73,4496.37,",
"CANADA,PUERTO BARRIOS,08/05/2017, 8703249000,2004,ACURA,MDX TOURING 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,31393.8,3767.26,",
"CANADA,EL CARMEN,16/05/2017, 8703249000,2002,ACURA,MDX 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,26985.07,3238.21,",
"JAPON,TECUN UMAN,09/05/2017, 8703237900,2006,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16124.53,1934.94,",
"ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,19/05/2017, 8703249000,2006,ACURA,TL,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,28461.74,3415.41,",
"ESTADOS UNIDOS,PUERTO QUETZAL,09/05/2017, 8703249000,2004,ACURA,TL,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,36395.88,4367.51,",
"JAPON,TECUN UMAN,09/05/2017, 8703236900,2003,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,12793.98,1535.28,",
"JAPON,EL CARMEN,05/06/2017, 8703236900,2005,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,24862.27,2983.47,",
"JAPON,PUERTO BARRIOS,29/05/2017, 8703236900,2003,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,10618.15,1274.18,",
"JAPON,PUERTO BARRIOS,03/06/2017, 8703237900,2005,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14260.97,1711.32,",
"JAPON,TECUN UMAN,13/05/2017, 8703237900,2004,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,30651.52,3678.18,",
"JAPON,TECUN UMAN,08/05/2017, 8703236900,2006,ACURA,RSX-S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,28459.8,3415.18,",
"JAPON,EL CARMEN,12/05/2017, 8703237900,2004,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,24785.2,2974.22,",
"ESTADOS UNIDOS,TECUN UMAN,22/05/2017, 8703249000,2007,ACURA,TL,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,24784.53,2974.14,",
"CANADA,EL CARMEN,26/05/2017, 8703249000,2001,ACURA,MDX 4WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,11610.16,1393.22,",
"CANADA,EL CARMEN,18/05/2017, 8703249000,2002,ACURA,MDX AWD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,21650.81,2598.1,",
"CANADA,PUERTO BARRIOS,16/05/2017, 8703249000,2004,ACURA,MDX TOURING 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,17638.75,2116.65,",
"JAPON,PUERTO BARRIOS,08/05/2017, 8703236900,2003,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,9887.58,1186.51,",
"JAPON,EL CARMEN,19/05/2017, 8703236900,2006,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,28461.74,3415.41,",
"CANADA,EL CARMEN,27/05/2017, 8703249000,2003,ACURA,MDX TOURING 4WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,25161.93,3019.43,",
"JAPON,PUERTO BARRIOS,05/06/2017, 8703236900,2006,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,15505.82,1860.7,",
"ESTADOS UNIDOS,PUERTO BARRIOS,11/05/2017, 8703249000,2004,ACURA,TL,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17270.16,2072.42,",
"JAPON,SAN CRISTOBAL,10/05/2017, 8703236900,2006,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,63830.68,7659.68,",
"JAPON,PUERTO BARRIOS,11/05/2017, 8703236900,2001,ACURA,INTEGRA LS,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,7942.07,953.05,",
"JAPON,EL CARMEN,06/06/2017, 8703236900,2002,ACURA,RSX TYPE-S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,13525.66,1623.08,",
"ESTADOS UNIDOS,PUERTO BARRIOS,24/05/2017, 8703249000,2003,ACURA,TL,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,9022.05,1082.65,",
"ALEMANIA REP. FED.,G8"," CENTRALSA,26/05/2017, 8703236900,2006,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16651.43,1998.17,"
"ALEMANIA REP. FED.,PUERTO BARRIOS,23/05/2017, 8703236900,2014,AUDI,Q5 2.0 QUATTRO PREMIUM,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,81994.25,9839.31,",
"ALEMANIA REP. FED.,EL CARMEN,25/05/2017, 8703236900,2010,AUDI,A4 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,33625.9,4035.11,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,31/05/2017, 8703236900,2004,AUDI,A4 1.8T,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,9337.8,1120.54,",
"ALEMANIA REP. FED.,EL CARMEN,02/06/2017, 8703237900,2001,AUDI,A4 2.8 QUATTRO,2800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,27079.65,3249.56,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,06/06/2017, 8703236900,2011,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,37254.36,4470.52,",
"SLOVAKIA,TECUN UMAN,16/05/2017, 8703236900,2012,AUDI,Q5 2.0T QUATRO 4WD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,66876.05,8025.13,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,23/05/2017, 8703236900,2004,AUDI,A4 1.8T QUATTRO,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12308.13,1476.98,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,19/05/2017, 8703237900,2015,AUDI,S4 QUATTRO PRESTIGE,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,108364,13003.68,",
"ESTADOS UNIDOS,PUERTO BARRIOS,19/05/2017, 8703236900,2002,AUDI,TT QUATTRO CONVERTIBLE,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,2,2,0,18764.21,2251.71,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,12/05/2017, 8703236900,2008,AUDI,A4 QUATTRO S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,10507.61,1260.91,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,12/05/2017, 8703236900,2015,AUDI,A3 1.8T PREMIUM,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,40954.25,4914.51,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,18/05/2017, 8703236900,2002,AUDI,A4 1.8T QUATTRO,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11244.56,1349.35,",
"ESTADOS UNIDOS,PUERTO BARRIOS,19/05/2017, 8703236900,2005,AUDI,TT COUPE QUATTRO,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,22798.73,2735.85,",
"ALEMANIA REP. FED.,PUERTO BARRIOS,31/05/2017, 8703236900,2007,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13183.21,1581.99,",
