Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,Impuesto;
ESTADOS UNIDOS,TECUN UMAN,19/12/2016, 87042290,1993,FORD,L8000,7800,PESADO,CAMION,OCASIONAL,DIESEL,2,2,10,43602.86,5232.34,;
ESTADOS UNIDOS,PUERTO BARRIOS,27/12/2016, 87043151,2006,FORD,RANGER XLT SUPERCAB 4WD,4000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,4,1,9910.86,1189.3,;
MEXICO,SANTO TOMAS DE CASTILLA,27/12/2016, 87032369,2012,FORD,FIESTA SE,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13619,1634.28,;
ESTADOS UNIDOS,EL CARMEN,04/01/2017, 8703236900,2014,FORD,FOCUS SFE,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13934.55,1672.15,;
ESTADOS UNIDOS,PUERTO BARRIOS,22/12/2016, 87043151,2000,FORD,F-150 XLT 4X2,4200,LIVIANO,PICK UP,OCASIONAL,GASOLINA,3,2,1,23035.63,2764.28,;
ESTADOS UNIDOS,EL CARMEN,07/01/2017, 8703248000,1995,FORD,E-350 XL CLUB WAGON,5800,PESADO,MICROBUS,OCASIONAL,GASOLINA,15,6,0,25322.58,3038.71,;
ESTADOS UNIDOS,TECUN UMAN,21/12/2016, 87043151,2009,FORD,RANGER XL 2WD,2300,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,21141.8,2537.02,;
COREA DEL SUR,TECUN UMAN,12/12/2016, 87032259,1992,FORD,FESTIVA GL,1300,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,9897.52,1187.7,;
ESTADOS UNIDOS,MELCHOR DE MENCOS,29/12/2016, 87042151,2001,FORD,RANGER 4X2,2500,LIVIANO,PICK UP,OCASIONAL,DIESEL,5,4,1,21663.65,2599.64,;
ESTADOS UNIDOS,TECUN UMAN,19/12/2016, 87043151,2003,FORD,F-150 SUPERCAB XLT 2WD,4200,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,4,1,35032.14,4203.86,;
ESTADOS UNIDOS,EL CARMEN,08/12/2016, 87032379,2006,FORD,Escape XLT 4WD,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,29162.08,3499.45,;
ESTADOS UNIDOS,EL CARMEN,20/12/2016, 87042151,1999,FORD,F-250 SUPER CAB SWD 2WD,7300,LIVIANO,PICK UP,OCASIONAL,DIESEL,5,4,1,13991.87,1679.02,;
ESTADOS UNIDOS,EL CARMEN,23/12/2016, 87043151,1993,FORD,F-150 XLT SUPER CAB 4X2,4900,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,14075.75,1689.09,;
ESTADOS UNIDOS,EL CARMEN,13/12/2016, 87032490,1997,FORD,EXPEDITION XLT 4X2,5400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,17855.95,2142.71,;
ESTADOS UNIDOS,PUERTO BARRIOS,14/12/2016, 87032379,2003,FORD,ESCAPE XLS 2WD,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,8761.28,1051.35,;
ESTADOS UNIDOS,PEDRO DE ALVARADO,06/01/2017, 8703249000,2004,FORD,MUSTANG,3900,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,33423.59,4010.83,;
ESTADOS UNIDOS,TECUN UMAN,06/01/2017, 8702106000,2006,FORD,E350 ECONOLINE,5400,LIVIANO,MINIBUS,OCASIONAL,GASOLINA,12,6,0,41032.29,4923.87,;
ESTADOS UNIDOS,TECUN UMAN,22/12/2016, 87032379,2013,FORD,ESCAPE SE 4X2,1600,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,21651.99,2598.24,;
ESTADOS UNIDOS,TECUN UMAN,22/12/2016, 87043151,1996,FORD,F-150 S/C EDDIE BAUER 4X4,5800,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,15556.53,1866.78,;
ESTADOS UNIDOS,TECUN UMAN,27/12/2016, 87032490,2002,FORD,EXPLORER XLS 2WD,4000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,18193.65,2183.24,;
ESTADOS UNIDOS,TECUN UMAN,21/12/2016, 87042199,1999,FORD,F550,7300,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.5,39742,4769.04,;
ESTADOS UNIDOS,EL CARMEN,20/12/2016, 87043151,2001,FORD,RANGER XLT 4X2,2300,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,24913.45,2989.61,;
ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,10/12/2016, 87043151,1999,FORD,RANGER XLT 4X2,2500,LIVIANO,PICK UP,OCASIONAL,GASOLINA,3,2,1,14117.86,1694.14,;
ESTADOS UNIDOS,TECUN UMAN,13/12/2016, 87042290,1990,FORD,L8000,7800,PESADO,CAMION,OCASIONAL,DIESEL,2,2,10,33910.85,4069.3,;
ESTADOS UNIDOS,TECUN UMAN,19/12/2016, 87039000,2007,FORD,ESCAPE HYBRID 4WD,2300,LIVIANO,CAMIONETA,OCASIONAL,OTROS,5,4,0,10436.22,1252.35,;
ESTADOS UNIDOS,TECUN UMAN,19/12/2016, 87042290,1986,FORD,LN9000,10000,PESADO,CAMION,OCASIONAL,DIESEL,2,2,10,36110.96,4333.32,;
ESTADOS UNIDOS,EL CARMEN,14/12/2016, 87043151,1996,FORD,RANGER XLT 2WD,3000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,17852.62,2142.31,;
ESTADOS UNIDOS,EL CARMEN,15/12/2016, 87032490,2003,FORD,EXPLORER SPORT XLS 2WD,4000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,27769.35,3332.32,;
CANADA,PUERTO BARRIOS,20/12/2016, 87043151,2000,FORD,F-150 HARLEY DAVIDSON,5400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,4,1,12199,1463.88,;
ESTADOS UNIDOS,TECUN UMAN,27/12/2016, 87032379,2005,FORD,ESCAPE XLT 4WD,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,13252.17,1590.26,;
ESTADOS UNIDOS,EXPRESS AEREO,20/12/2016, 87032379,2012,FORD,ESCARE LIMITED 4X2,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,107328.88,12879.47,;
JAPON,EL CARMEN,16/12/2016, 87043151,1992,FORD,F-150 CUSTOM 4X4,4900,LIVIANO,PICK UP,OCASIONAL,GASOLINA,3,2,1,18340.17,2200.82,;
ESTADOS UNIDOS,TECUN UMAN,12/12/2016, 87043151,1997,FORD,RANGER SUPER CAB XLT 4X2,2300,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,16370.71,1964.49,;
ESTADOS UNIDOS,EL CARMEN,15/12/2016, 87043151,1994,FORD,RANGER 4X2,2300,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,14090.79,1690.89,;
CANADA,PUERTO BARRIOS,30/12/2016, 87032480,2004,FORD,FREESTAR S,3900,LIVIANO,MICROBUS,OCASIONAL,GASOLINA,7,4,0,23544.17,2825.3,;
MEXICO,EL CARMEN,10/12/2016, 87032379,2012,FORD,FUSION SE,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,21627.36,2595.28,;
ESTADOS UNIDOS,EL CARMEN,14/12/2016, 87042290,2003,FORD,ECONOLINE E450 SD,7300,PESADO,CAMION FURGON ,OCASIONAL,DIESEL,2,2,6,50336.51,6040.38,;
ESTADOS UNIDOS,EL CARMEN,20/12/2016, 87043161,1999,FORD,LOBO F-150 XL SUPERCAB FL,4200,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,4,1,28984.76,3478.17,;
ESTADOS UNIDOS,EL CARMEN,28/12/2016, 87043151,2000,FORD,RANGER XLT 4X2,2500,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,12472.5,1496.7,;
ESTADOS UNIDOS,PUERTO BARRIOS,04/01/2017, 8704315100,2004,FORD,RANGER 4X2,3000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,3,2,1,22077.54,2649.3,;
ESTADOS UNIDOS,TECUN UMAN,11/12/2016, 87042290,1987,FORD,L8000,7800,PESADO,CAMION,OCASIONAL,DIESEL,2,2,10,21927.74,2631.33,;
ESTADOS UNIDOS,PUERTO BARRIOS,08/12/2016, 87032379,2005,FORD,ESCAPE XLS 4X2,2300,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,9921.12,1190.53,;
ESTADOS UNIDOS,EL CARMEN,16/12/2016, 87032379,2005,FORD,ESCAPE 4WD LIMITED,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,13035.91,1564.31,;
ESTADOS UNIDOS,TECUN UMAN,23/12/2016, 87043161,2003,FORD,E-350 SUPER DUTY,5400,LIVIANO,PANEL,OCASIONAL,GASOLINA,2,5,1,13634.4,1636.13,;
ESTADOS UNIDOS,EL CARMEN,09/12/2016, 87043151,1994,FORD,RANGER 4X2 SPLASH S/CAB,4000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,21627.36,2595.28,;
ESTADOS UNIDOS,PUERTO BARRIOS,14/12/2016, 87043151,2011,FORD,F-250 SUPER DUTY KING,6700,LIVIANO,PICK UP,OCASIONAL,DIESEL,5,4,1.5,140506.82,16860.82,;
ESTADOS UNIDOS,TECUN UMAN,23/12/2016, 87043151,2000,FORD,F 450 XL SUPER DUTY,7300,LIVIANO,PICK UP,OCASIONAL,GASOLINA,3,2,1,26354.59,3162.55,;
CANADA,EL CARMEN,23/12/2016, 87042151,1995,FORD,F-350 XL 4X4,7300,LIVIANO,PICK UP,OCASIONAL,DIESEL,2,2,1,17819.3,2138.32,;
ESTADOS UNIDOS,TECUN UMAN,13/12/2016, 87042290,1995,FORD,AEROMAX LTA9000,14600,PESADO,CAMION,OCASIONAL,DIESEL,2,2,10,32410.8,3889.3,;
ESTADOS UNIDOS,EL CARMEN,18/12/2016, 87043151,2001,FORD,RANGER 2WD,4000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,15583.15,1869.98,;
ESTADOS UNIDOS,PUERTO BARRIOS,22/12/2016, 87032490,2016,FORD,EXPLORER SPORT 4WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,80123.6,9614.83,;
ESTADOS UNIDOS,TECUN UMAN,21/12/2016, 87043151,1995,FORD,RANGER SUPER CAB XLT 4X4,4000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,25249.61,3029.95,;
ESTADOS UNIDOS,PUERTO BARRIOS,13/12/2016, 87032379,2003,FORD,FOCUS SE,2300,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13391.96,1607.04,;
ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,15/12/2016, 87032379,2001,FORD,ESCAPE XLT 4X2,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,10343.24,1241.19,;
ESTADOS UNIDOS,TECUN UMAN,15/12/2016, 87043151,2007,FORD,F-150 SUPER CAB XL 4X2,4600,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,4,1,15874.62,1904.95,;
ESTADOS UNIDOS,EL CARMEN,21/12/2016, 87043151,2007,FORD,RANGER 4X2,2300,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,13768.32,1652.2,;
ESTADOS UNIDOS,PUERTO BARRIOS,22/12/2016, 87032379,2005,FORD,ESCAPE XLT 4WD,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,8937.52,1072.5,;
ESTADOS UNIDOS,TECUN UMAN,22/12/2016, 87043151,1998,FORD,F-150 XL SUPERCAB 4X2,4200,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,3,1,14044.73,1685.37,;
MEXICO,EL CARMEN,18/12/2016, 87032379,2004,FORD,FOCUS ZX3,2300,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,3,0,21426.83,2571.22,;
ESTADOS UNIDOS,TECUN UMAN,17/12/2016, 87032379,2012,FORD,ESCAPE LIMITED 4WD,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,31600.83,3792.1,;
ESTADOS UNIDOS,EL CARMEN,09/12/2016, 87032490,2005,FORD,EXPLORER 2WD XLT,4000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,31389.71,3766.77,;
ESTADOS UNIDOS,EL CARMEN,26/12/2016, 87043151,2004,FORD,F-150 XLT SUPERCAB 4WD,4600,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,4,1,40093.42,4811.21,;
ESTADOS UNIDOS,TECUN UMAN,26/12/2016, 87032490,2001,FORD,EXPEDITION XLT 4WD TRITON,5400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,8,4,0,21937.2,2632.46,;
ESTADOS UNIDOS,TECUN UMAN,23/12/2016, 87042290,1994,FORD,LN8000F,8300,PESADO,CAMION,OCASIONAL,DIESEL,2,2,10,36087.82,4330.54,;
ESTADOS UNIDOS,TECUN UMAN,27/12/2016, 87012000,1998,FORD,A9513,10800,PESADO,CABEZAL,OCASIONAL,DIESEL,2,2,15,24857.17,2982.86,;
ESTADOS UNIDOS,TECUN UMAN,27/12/2016, 87032379,2007,FORD,ESCAPE XLS 2WD,2300,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,24220.77,2906.49,;
ESTADOS UNIDOS,EL CARMEN,27/12/2016, 87043151,2003,FORD,RANGER XL 2WD,2300,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,20450.98,2454.12,;
ESTADOS UNIDOS,TECUN UMAN,28/12/2016, 87042290,1985,FORD,9000,10000,PESADO,CAMION,OCASIONAL,DIESEL,2,2,12,32361.98,3883.44,;
ESTADOS UNIDOS,TECUN UMAN,21/12/2016, 87042290,1995,FORD,AERO MAX L-9000,11100,PESADO,CAMION,OCASIONAL,DIESEL,2,2,15,24801.4,2976.17,;
ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,15/12/2016, 87032369,2014,FORD,FOCUS SE,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14345.62,1721.47,;
ESTADOS UNIDOS,EL CARMEN,20/12/2016, 87032379,2008,FORD,ESCAPE XLT 2WD,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,12410.96,1489.32,;
ESTADOS UNIDOS,TECUN UMAN,23/12/2016, 87032379,2010,FORD,ESCAPE XLT 2WD,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,19391.59,2326.99,;
ESTADOS UNIDOS,TECUN UMAN,23/12/2016, 87043151,1996,FORD,RANGER XLT SUPER CAB 4X2,2300,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,4,1,21539.81,2584.78,;
ESTADOS UNIDOS,PUERTO BARRIOS,19/12/2016, 87032379,2005,FORD,ESCAPE XLS 4X4,2300,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,15569.84,1868.38,;
ESTADOS UNIDOS,TECUN UMAN,16/12/2016, 87043151,2000,FORD,RANGER SUPERCAB 4X2,2500,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,20078.29,2409.39,;
ESTADOS UNIDOS,PUERTO BARRIOS,17/12/2016, 87043151,2004,FORD,RANGER 4X2,3000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,3,2,1,17830.72,2139.69,;
CANADA,EL CARMEN,13/12/2016, 87042151,1990,FORD,F350 XL 4X2,7300,LIVIANO,PICK UP,OCASIONAL,DIESEL,3,2,1,25358.45,3043.01,;
MEXICO,SANTO TOMAS DE CASTILLA,27/12/2016, 87032369,2014,FORD,FIESTA ST,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,20563.34,2467.6,;
ESTADOS UNIDOS,TECUN UMAN,27/12/2016, 87032490,2004,FORD,MUSTANG,3900,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,14510,1741.2,;
MEXICO,TECUN UMAN,19/12/2016, 87042199,2007,FORD,LOW CAB FORWARD 450,4500,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.4,29852.17,3582.26,;
ESTADOS UNIDOS,PUERTO BARRIOS,15/12/2016, 87043151,2000,FORD,RANGER XLT 4X2,3000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,2,1,10140.87,1216.9,;
ESTADOS UNIDOS,TECUN UMAN,18/12/2016, 87032490,2016,FORD,EXPLORER LIMITED 2WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,103987.57,12478.51,;
ESTADOS UNIDOS,PUERTO BARRIOS,17/12/2016, 87032379,2012,FORD,ESCAPE XLT 4X2,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,23921.64,2870.6,;
ESTADOS UNIDOS,EL CARMEN,24/12/2016, 87032490,2008,FORD,MUNSTANG DELUXE COUPER,4000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,36537.05,4384.45,;
ESTADOS UNIDOS,PUERTO BARRIOS,27/12/2016, 87043151,2004,FORD,RANGER XL SUPERCAB 2WD,3000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,3,2,1,13334.34,1600.12,;
ESTADOS UNIDOS,TECUN UMAN,21/12/2016, 87043151,1997,FORD,RANGER XLT 4X2,2300,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,14044.73,1685.37,;
ESTADOS UNIDOS,EL CARMEN,16/12/2016, 87043151,2005,FORD,F-150 SUPER CAB 4X4,5400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,4,1,42553.99,5106.48,;
ESTADOS UNIDOS,TECUN UMAN,24/12/2016, 87043151,1999,FORD,F-150 SUPER CAB 4X2,4200,LIVIANO,PICK UP,OCASIONAL,GASOLINA,6,4,1,19316.72,2318.01,;
ESTADOS UNIDOS,PUERTO BARRIOS,28/12/2016, 87042151,2007,FORD,F-250 XLT SUPER DUTY SUPE,6000,LIVIANO,PICK UP,OCASIONAL,DIESEL,6,4,1,17490,2098.8,;
ESTADOS UNIDOS,PUERTO BARRIOS,03/01/2017, 8704315100,2006,FORD,RANGER 4X2,2300,LIVIANO,PICK UP,OCASIONAL,GASOLINA,3,2,1,10036.98,1204.44,;
ESTADOS UNIDOS,TECUN UMAN,22/12/2016, 87021070,2005,FORD,E-450,6000,PESADO,BUS,OCASIONAL,DIESEL,26,3,6,39743.59,4769.23,;
CANADA,SANTO TOMAS DE CASTILLA,22/12/2016, 87032490,2011,FORD,EDGE LIMITED 4X2,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,30724.14,3686.9,;
ESTADOS UNIDOS,EL CARMEN,17/12/2016, 87032470,2005,FORD,Expedition4WD ddie Bauer,5400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,32814.52,3937.74,;
ESTADOS UNIDOS,TECUN UMAN,13/12/2016, 87042290,1992,FORD,LNT9000,10000,PESADO,CAMION,OCASIONAL,DIESEL,2,2,15,32410.37,3889.24,;
MEXICO,PUERTO BARRIOS,13/12/2016, 87032369,2013,FORD,FIESTA SE,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14329.78,1719.57,;
CANADA,TECUN UMAN,18/12/2016, 87042151,1993,FORD,F-350XL CREW CAB 2WD,7300,LIVIANO,PICK UP,OCASIONAL,DIESEL,6,4,1,23449.65,2813.96,;
CANADA,EL CARMEN,27/12/2016, 87042151,1995,FORD,F250 XLT 2WD,7300,LIVIANO,PICK UP,OCASIONAL,DIESEL,3,2,1,29065.86,3487.9,;
ESTADOS UNIDOS,EL CARMEN,21/12/2016, 87043151,1992,FORD,RANGER SUPER CAB XLT 4X2,2300,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,14044.73,1685.37,;
ESTADOS UNIDOS,PUERTO BARRIOS,28/12/2016, 87043151,2003,FORD,4X2  F. 150 XL,4200,LIVIANO,PICK UP,OCASIONAL,GASOLINA,3,2,1,23850,2862,;
ESTADOS UNIDOS,TECUN UMAN,18/12/2016, 87043151,2005,FORD,F-250 S/D LARIAT S/C XL 2,5400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,6,4,1,18205.32,2184.64,;
MEXICO,SANTO TOMAS DE CASTILLA,22/12/2016, 87032369,2011,FORD,FIESTA SE,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12400.35,1488.04,;
JAPON,TECUN UMAN,26/12/2016, 87042151,2002,FORD,F-250 SUPER DUTY LARIAT,7300,LIVIANO,PICK UP,OCASIONAL,DIESEL,6,4,1,19023.6,2282.83,;
MEXICO,G8; CENTRALSA,28/12/2016, 87032369,2012,FORD,FIESTA SE,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14472.56,1736.71,
ESTADOS UNIDOS,EL CARMEN,17/12/2016, 87042151,2005,FORD,F-350 XLT SUPER DUTY 4X2,6000,LIVIANO,PICK UP,OCASIONAL,DIESEL,6,4,1,42553.99,5106.48,;
ESTADOS UNIDOS,EL CARMEN,16/12/2016, 87043151,1999,FORD,RANGER XLT S/C 4X4,4000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,4,1,31016.47,3721.98,;
ESTADOS UNIDOS,EL CARMEN,27/12/2016, 87032490,2000,FORD,MUSTANG CONVERTIBLE,3800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,17829.06,2139.49,;
ESTADOS UNIDOS,EL CARMEN,12/12/2016, 87042151,2008,FORD,F550 Super Duty 4WD XL,6400,LIVIANO,PICK UP,OCASIONAL,DIESEL,2,2,1,39612.67,4753.52,;
TURQUIA,PUERTO BARRIOS,05/01/2017, 8704316100,2010,FORD,TRANSIT CONNECT XL,2000,LIVIANO,PANEL,OCASIONAL,GASOLINA,2,4,1,13956.84,1674.82,;
ESTADOS UNIDOS,PUERTO BARRIOS,22/12/2016, 87043151,2002,FORD,RANGER XLT S/C 4X2,2300,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,2,1,12699.51,1523.94,;
ESTADOS UNIDOS,EL CARMEN,03/01/2017, 8702107000,2002,FORD,ECONOLINE E450,7300,PESADO,MICROBUS,OCASIONAL,DIESEL,36,3,3,25054.71,3006.57,;
MEXICO,TECUN UMAN,11/12/2016, 87032369,2013,FORD,FIESTA SE,1600,LIVIANO,CAMIONETILLA,OCASIONAL,GASOLINA,5,4,0,14848.01,1781.76,;
ESTADOS UNIDOS,TECUN UMAN,17/12/2016, 87032379,2009,FORD,ESCAPE XLT 4WD,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,26543.8,3185.26,;
ESTADOS UNIDOS,TECUN UMAN,05/01/2017, 8704100000,1994,FORD,AERO MAX L9000,11100,PESADO,CAMION VOLTEO,OCASIONAL,DIESEL,2,2,20,43954.97,5274.6,;
ESTADOS UNIDOS,PUERTO BARRIOS,12/12/2016, 87032490,2007,FORD,MUSTANG,4000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,15439.94,1852.79,;
CANADA,PUERTO BARRIOS,16/12/2016, 87043151,2003,FORD,F-150 XL 4WD,4200,LIVIANO,PICK UP,OCASIONAL,GASOLINA,3,2,1,13191.38,1582.97,;
ESTADOS UNIDOS,TECUN UMAN,17/12/2016, 87043151,2004,FORD,RANGER XL 2WD,2300,LIVIANO,PICK UP,OCASIONAL,GASOLINA,3,2,1,15493.25,1859.19,;
ESTADOS UNIDOS,EL CARMEN,22/12/2016, 87043151,1996,FORD,RANGER S/C SPLASH 4X2 XLT,2300,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,25279.36,3033.52,;
MEXICO,EL CARMEN,13/12/2016, 87032369,2003,FORD,FOCUS ZX5,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,20031.68,2403.8,;
ESTADOS UNIDOS,EL CARMEN,21/12/2016, 87043230,1995,FORD,L8000,8300,PESADO,CAMION CISTERNA,OCASIONAL,DIESEL,2,2,15,65890.69,7906.88,;
ESTADOS UNIDOS,PUERTO BARRIOS,09/12/2016, 87043151,2001,FORD,F150 LARIAT 4X2,5400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,4,1,21082.38,2529.89,;
TURQUIA,EL CARMEN,28/12/2016, 87043161,2010,FORD,TRANSIT CONNECT XLT,2000,LIVIANO,PANEL,OCASIONAL,GASOLINA,2,5,1,24660,2959.2,;
ESTADOS UNIDOS,PUERTO BARRIOS,22/12/2016, 87032369,2001,FORD,ESCAPE XLS 4WD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,10418.39,1250.21,;
ESTADOS UNIDOS,EL CARMEN,26/12/2016, 87042151,1994,FORD,F-250 S/C 4X2 XLT,7300,LIVIANO,PICK UP,OCASIONAL,DIESEL,4,2,1,52333.63,6280.04,;
CANADA,TECUN UMAN,10/12/2016, 87032490,2010,FORD,EDGE SEL AWD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,23955.31,2874.64,;
ESTADOS UNIDOS,TECUN UMAN,11/12/2016, 87042290,1994,FORD,L8000,8300,PESADO,CAMION,OCASIONAL,DIESEL,2,2,10,34693.89,4163.27,;
ESTADOS UNIDOS,TECUN UMAN,19/12/2016, 87041000,1997,FORD,LT9000,10800,PESADO,CAMION VOLTEO,OCASIONAL,DIESEL,2,2,15,39856.91,4782.83,;
ESTADOS UNIDOS,TECUN UMAN,26/12/2016, 87032490,2005,FORD,EXPLORER XLT 4X2,4000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,24782.3,2973.88,;
ESTADOS UNIDOS,EL CARMEN,20/12/2016, 87032369,2010,FORD,FOCUS SE,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12148.97,1457.88,;
ESTADOS UNIDOS,EL CARMEN,19/12/2016, 87043151,2003,FORD,RANGER XL SHOR BED 2WD,2300,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,12598.1,1511.77,;
ESTADOS UNIDOS,EL CARMEN,29/12/2016, 87032369,2005,FORD,FOCUS ZX4 S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17902.6,2148.31,;
ESTADOS UNIDOS,EL CARMEN,29/12/2016, 87043151,1999,FORD,F-150 EXT/CAB 4X2 XLT,4600,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,4,1,14141.55,1696.99,;
ESTADOS UNIDOS,TECUN UMAN,30/12/2016, 87042230,1988,FORD,LN8000,10400,PESADO,CAMION CISTERNA,OCASIONAL,DIESEL,2,2,10,24973.37,2996.8,;
ESTADOS UNIDOS,TECUN UMAN,31/12/2016, 87042151,2008,FORD,F-250 SUPER DUTY 4X4,6400,LIVIANO,PICK UP,OCASIONAL,DIESEL,5,4,1,47411.8,5689.42,;
ESTADOS UNIDOS,PUERTO BARRIOS,27/12/2016, 87032379,2002,FORD,ESCAPE XLT 4WD,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,9289.09,1114.69,;
