Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo_del_Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,Impuesto;
CANADA,PUERTO BARRIOS,18/03/2016, 87032490,2007,ACURA,MDX SH AWD,3700,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,74379.2,8925.5,;
JAPON,PUERTO BARRIOS,06/04/2016, 87032369,2002,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,9251.64,1110.2,;
JAPON,PUERTO BARRIOS,16/03/2016, 87032369,1996,ACURA,INTEGRA SPECIAL EDITION,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12998.5,1559.82,;
ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,11/03/2016, 87032369,1996,ACURA,INTEGRA,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11820.57,1418.47,;
ESTADOS UNIDOS,PUERTO BARRIOS,08/03/2016, 87032379,1990,ACURA,LEGEND V6 LS,2700,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,10619.93,1274.39,;
ESTADOS UNIDOS,PUERTO BARRIOS,30/03/2016, 87032490,2001,ACURA,CL TYPE S,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,11042.89,1325.15,;
JAPON,PUERTO BARRIOS,05/04/2016, 87032369,2006,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,12566,1507.92,;
ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,06/04/2016, 87032369,2003,ACURA,RSX-S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,25827.5,3099.3,;
CANADA,EL CARMEN,07/04/2016, 87032490,2001,ACURA,MDX 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,20145.45,2417.45,;
ESTADOS UNIDOS,PUERTO BARRIOS,02/04/2016, 87032490,2001,ACURA,MDX 4WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,11759.12,1411.09,;
CANADA,TECUN UMAN,08/03/2016, 87032490,2001,ACURA,MDX AWD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,16968.8,2036.26,;
ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,09/03/2016, 87032379,2008,ACURA,RDX TURBO SH 4X4,2300,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,27606.29,3312.75,;
