Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,Impuesto;;
CANADA,TECUN UMAN,05/09/2016, 87032490,2002,ACURA,MDX 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,26239.9,3148.79,;;
JAPON,EL CARMEN,04/09/2016, 87032369,2002,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,10334.6,1240.15,;;
ESTADOS UNIDOS,PUERTO BARRIOS,26/08/2016, 87032369,2002,AUDI,TT,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,17094.02,2051.28,;;
ALEMANIA REP. FED.,PUERTO QUETZAL,31/08/2016, 87032369,2001,AUDI,A4 1.8T,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,7371.38,884.57,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,31/08/2016, 87032369,2006,AUDI,A3 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,25099.28,3011.91,;;
SLOVAKIA,TECUN UMAN,29/08/2016, 87032369,2016,AUDI,Q5 PREMIUM QUATTRO 4X4,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,153203.23,18384.39,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,08/08/2016, 87032490,2004,AUDI,S4 SPORT,4200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14814.14,1777.7,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,16/08/2016, 87032369,2006,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17653.85,2118.46,;;
ALEMANIA REP. FED.,G8; CENTRALSA,02/09/2016, 87032369,2011,AUDI,A4 2.0 T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,52328.57,6279.43,;
ALEMANIA REP. FED.,PUERTO BARRIOS,09/08/2016, 87032369,2004,AUDI,A4 1-8T,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11004.31,1320.52,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,02/09/2016, 87032369,2008,AUDI,A4 2.0 T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,15011.57,1801.39,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,27/08/2016, 87032369,2009,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,28062,3367.44,;;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,24/08/2016, 87032369,2008,AUDI,A4 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,26022.84,3122.74,;;
ALEMANIA REP. FED.,G1; INTEGRADA,02/09/2016, 87032369,2005,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13429.77,1611.57,;
ALEMANIA REP. FED.,PUERTO BARRIOS,25/08/2016, 87032369,2009,AUDI,A4 2.0T QUATRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,28781.88,3453.83,;;
ALEMANIA REP. FED.,TECUN UMAN,30/08/2016, 87032369,2006,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14638.3,1756.6,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,25/08/2016, 87032379,2014,AUDI,Q7 3.0T QUATTRO,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,68880.11,8265.61,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,08/08/2016, 87032369,2010,AUDI,A4 PREMIUM PLUS,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,36790.32,4414.84,;;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,08/08/2016, 87032369,2006,AUDI,A4 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,18168.99,2180.28,;;
ESTADOS UNIDOS,EXPRESS AEREO,24/08/2016, 87032369,1999,AUDI,A4 1.8T QUATTRO,1800,LIVIANO,CAMIONETILLA,OCASIONAL,GASOLINA,5,4,0,6799.93,815.99,;;
ALEMANIA REP. FED.,TECUN UMAN,08/08/2016, 87032369,2005,AUDI,A4 QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,18455.47,2214.66,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,22/08/2016, 87032369,2004,AUDI,A4 QUATTRO,1781,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,9811.33,1177.36,;;
ALEMANIA REP. FED.,G8; CENTRALSA,30/08/2016, 87032369,2009,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,25216.59,3025.99,;
ALEMANIA REP. FED.,EL CARMEN,18/08/2016, 87032369,2002,AUDI,A4 1.8T QUATTRO,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,10199.94,1223.99,;;
