Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto;
JAPON,SANTO TOMAS DE CASTILLA,17/05/2016, 87032369,2003,ACURA,RSX S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,18431.46,2211.78,;
JAPON,PUERTO BARRIOS,01/06/2016, 87032369,2000,ACURA,INTEGRA,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,14335.75,1720.29,;
JAPON,TECUN UMAN,28/05/2016, 87032369,1990,ACURA,INTEGRA LS,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,11510.5,1381.26,;
JAPON,PUERTO BARRIOS,24/05/2016, 87032369,2004,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,27349.05,3281.89,;
JAPON,SANTO TOMAS DE CASTILLA,01/06/2016, 87032369,1997,ACURA,INTEGRA GS,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,11194.09,1343.29,;
ESTADOS UNIDOS,EXPRESS AEREO,23/05/2016, 87032369,2004,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,11265.14,1351.82,;
JAPON,PUERTO BARRIOS,03/06/2016, 87032369,2006,ACURA,RSX TYPE S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,25989.68,3118.76,;
JAPON,TECUN UMAN,27/05/2016, 87032369,2006,ACURA,RSX S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,17452.64,2094.32,;
ESTADOS UNIDOS,TECUN UMAN,24/05/2016, 87032379,2007,ACURA,RDX,2300,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,22757.96,2730.96,;
CANADA,TECUN UMAN,20/05/2016, 87032490,2004,ACURA,MDX 4WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,26262.68,3151.52,;
ESTADOS UNIDOS,TECUN UMAN,07/06/2016, 87032379,2007,ACURA,RDX TURBO SH-AWD,2300,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,27009.43,3241.13,;
JAPON,EL CARMEN,16/05/2016, 87032369,2000,ACURA,INTEGRA GS,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,20277.3,2433.28,;
JAPON,PUERTO BARRIOS,03/06/2016, 87032379,2004,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13036.82,1564.42,;
CANADA,EL CARMEN,02/06/2016, 87032490,2004,ACURA,MDX 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,25128,3015.36,;
JAPON,EL CARMEN,07/06/2016, 87032369,2003,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,13898.43,1667.81,;
JAPON,PUERTO BARRIOS,07/06/2016, 87032379,2005,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16000.78,1920.09,;
JAPON,EL CARMEN,21/05/2016, 87032369,1995,ACURA,INTEGRA RS,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,9985.93,1198.31,;
ALEMANIA REP. FED.,PUERTO BARRIOS,06/06/2016, 87032369,2008,AUDI,A4 Quattro,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,18251.96,2190.24,;
ALEMANIA REP. FED.,EL CARMEN,01/06/2016, 87032369,2008,AUDI,A4 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14336.32,1720.36,;
ALEMANIA REP. FED.,PUERTO BARRIOS,06/06/2016, 87032369,2012,AUDI,A4 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,44330.56,5319.67,;
ALEMANIA REP. FED.,PUERTO BARRIOS,25/05/2016, 87032369,2006,AUDI,A3 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14188.25,1702.59,;
ALEMANIA REP. FED.,TECUN UMAN,27/05/2016, 87032369,2011,AUDI,A5 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,69299.47,8315.94,;
ALEMANIA REP. FED.,PUERTO BARRIOS,05/06/2016, 87032369,2012,AUDI,A4 Quattro Premium,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,38125.84,4575.1,;
ALEMANIA REP. FED.,PUERTO BARRIOS,02/06/2016, 87032379,2003,AUDI,A6 Quattro,2700,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16533.38,1984.01,;
ALEMANIA REP. FED.,PUERTO BARRIOS,06/06/2016, 87032369,2007,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,22509.22,2701.11,;
ALEMANIA REP. FED.,PUERTO BARRIOS,03/06/2016, 87032369,2005,AUDI,A4 1.8T QUATTRO,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,9678.39,1161.41,;
ALEMANIA REP. FED.,PUERTO BARRIOS,02/06/2016, 87032369,2003,AUDI,A4 1.8T QUATTRO,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11248.5,1349.82,;
ALEMANIA REP. FED.,PUERTO BARRIOS,14/05/2016, 87032369,2005,AUDI,A4 1.8T CONVERTIBLE,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,14448.89,1733.87,;
ALEMANIA REP. FED.,PUERTO BARRIOS,21/05/2016, 87032369,2011,AUDI,A4 PREMIUM,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,39508.54,4741.02,;
ALEMANIA REP. FED.,G8; CENTRALSA,17/05/2016, 87032369,2001,AUDI,A4 1.8T QUATTRO,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11925.6,1431.07,
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,28/05/2016, 87032369,2007,AUDI,A4 QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,18764.63,2251.76,;
ALEMANIA REP. FED.,PUERTO BARRIOS,30/05/2016, 87032369,2006,AUDI,A4,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,18186.82,2182.42,;
ALEMANIA REP. FED.,EL CARMEN,29/05/2016, 87032369,2014,AUDI,A4 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,77560.49,9307.26,;
ALEMANIA REP. FED.,EL CARMEN,21/05/2016, 87032369,2011,AUDI,A4 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,42600.51,5112.06,;
ESTADOS UNIDOS,PUERTO BARRIOS,10/05/2016, 87032369,2012,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,38786.77,4654.41,;
ALEMANIA REP. FED.,PUERTO BARRIOS,09/05/2016, 87032369,2005,AUDI,A4 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,19039.38,2284.73,;
ALEMANIA REP. FED.,PUERTO BARRIOS,06/06/2016, 87032369,2007,AUDI,A4 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13841.84,1661.02,;
ALEMANIA REP. FED.,G8; CENTRALSA,02/06/2016, 87032369,2015,AUDI,A3,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,106207.96,12744.96,
ALEMANIA REP. FED.,PUERTO BARRIOS,31/05/2016, 87032369,2015,AUDI,A4,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,49185.77,5902.29,;
ALEMANIA REP. FED.,PUERTO BARRIOS,31/05/2016, 87032369,2003,AUDI,A4 1.8T QUATTRO,1781,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12529.03,1503.48,;
ALEMANIA REP. FED.,PUERTO BARRIOS,03/06/2016, 87032490,2010,AUDI,Q5 Premium Plus,3200,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,54116.55,6493.99,;
ALEMANIA REP. FED.,PUERTO BARRIOS,16/05/2016, 87032369,2011,AUDI,A4,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,45900.77,5508.09,;
ALEMANIA REP. FED.,PUERTO BARRIOS,06/06/2016, 87032369,2006,AUDI,A4 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14522.08,1742.65,;
ALEMANIA REP. FED.,PUERTO BARRIOS,07/06/2016, 87032369,2010,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,CAMIONETILLA,OCASIONAL,GASOLINA,5,4,0,20483.78,2458.05,;
ALEMANIA REP. FED.,PUERTO BARRIOS,19/05/2016, 87032369,2006,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,15451.97,1854.24,;
ESTADOS UNIDOS,EXPRESS AEREO,10/05/2016, 87032379,2000,AUDI,S4 QUATTRO,2671,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16178.82,1941.46,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,12/05/2016, 87032363,2017,AUDI,Q5,1984,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,211557.32,25386.88,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,12/05/2016, 87032269,2017,AUDI,A4,1395,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,169853.64,20382.44,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,12/05/2016, 87032269,2017,AUDI,A4,1395,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,169853.64,20382.44,;
SLOVAKIA,SANTO TOMAS DE CASTILLA,12/05/2016, 87032374,2017,AUDI,Q7,2995,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,5,0,350109.39,42013.13,;
SLOVAKIA,SANTO TOMAS DE CASTILLA,12/05/2016, 87032374,2017,AUDI,Q7,2995,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,5,0,334482.07,40137.85,;
SLOVAKIA,SANTO TOMAS DE CASTILLA,12/05/2016, 87032374,2017,AUDI,Q7,2995,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,5,0,394820.5,47378.46,;
ESPANA,SANTO TOMAS DE CASTILLA,12/05/2016, 87032363,2017,AUDI,Q3,1984,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,205995.29,24719.43,;
HUNGRIA,SANTO TOMAS DE CASTILLA,12/05/2016, 87032369,2017,AUDI,S3,1984,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,249778.07,29973.37,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,12/05/2016, 87032363,2017,AUDI,Q5,1984,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,217065.71,26047.89,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,12/05/2016, 87032269,2017,AUDI,A4,1395,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,169853.64,20382.44,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,12/05/2016, 87032269,2017,AUDI,A4,1395,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,169853.64,20382.44,;
SLOVAKIA,SANTO TOMAS DE CASTILLA,12/05/2016, 87032374,2017,AUDI,Q7,2995,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,5,0,339975.02,40797,;
SLOVAKIA,SANTO TOMAS DE CASTILLA,12/05/2016, 87033380,2017,AUDI,Q7,2967,LIVIANO,CAMIONETA,OCASIONAL,DIESEL,7,5,0,341816.24,41017.95,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,12/05/2016, 87032363,2017,AUDI,Q5,1984,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,241185.69,28942.28,;
ESPANA,SANTO TOMAS DE CASTILLA,12/05/2016, 87032363,2017,AUDI,Q3,1984,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,205995.29,24719.43,;
ALEMANIA REP. FED.,PUERTO BARRIOS,12/05/2016, 87032369,2006,AUDI,A4,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,20249.18,2429.9,;
ALEMANIA REP. FED.,PUERTO BARRIOS,03/06/2016, 87032369,2005,AUDI,A4 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,22554.92,2706.59,;
ALEMANIA REP. FED.,EL CARMEN,01/06/2016, 87032369,2007,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14336.32,1720.36,;
ALEMANIA REP. FED.,PUERTO BARRIOS,31/05/2016, 87032369,2005,AUDI,NEW A4 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16455.83,1974.7,;
ALEMANIA REP. FED.,PUERTO BARRIOS,26/05/2016, 87032369,2004,AUDI,A4,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,16082.78,1929.93,;
HUNGRIA,EL CARMEN,24/05/2016, 87032369,2002,AUDI,TT QUATTRO CONVERTIBLE,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,2,2,0,20855.56,2502.67,;
ALEMANIA REP. FED.,PUERTO BARRIOS,01/06/2016, 87032369,2006,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,15822.71,1898.73,;
ITALIA,PUERTO BARRIOS,12/05/2016, 87113090,2017,APRILIA,SR MAX 300,278,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,30449.68,3653.96,;
ITALIA,PUERTO BARRIOS,12/05/2016, 87113090,2017,APRILIA,SR MAX 300,278,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,30449.61,3653.95,;
ITALIA,PUERTO BARRIOS,12/05/2016, 87113090,2017,APRILIA,SR MAX 300,278,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,30449.68,3653.96,;
ITALIA,PUERTO BARRIOS,12/05/2016, 87113090,2017,APRILIA,SR MAX 300,278,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,30449.68,3653.96,;
ITALIA,PUERTO BARRIOS,12/05/2016, 87113090,2017,APRILIA,SR MAX 300,278,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,30449.68,3653.96,;
ITALIA,PUERTO BARRIOS,12/05/2016, 87113090,2017,APRILIA,SR MAX 300,278,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,30449.68,3653.96,;
ITALIA,EL CARMEN,30/05/2016, 87111090,2009,APRILIA,FACTORY SR50,50,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2821.44,338.57,;
ESTADOS UNIDOS,TECUN UMAN,14/05/2016, 87042290,1979,AUTOCAR,AT64F,14000,PESADO,CAMION,OCASIONAL,DIESEL,2,2,15,40606.5,4872.78,;
MEXICO,TECUN UMAN,06/06/2016, 87032490,2006,BUICK,RENDEZVOUS CXL AWD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,20865.94,2503.91,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,17/05/2016, 87032379,2011,BMW,128I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,31164.67,3739.76,;
ALEMANIA REP. FED.,PUERTO BARRIOS,13/05/2016, 87032379,2006,BMW,325I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,29523.67,3542.84,;
ALEMANIA REP. FED.,TECUN UMAN,14/05/2016, 87032379,2004,BMW,X3 4X4,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,31928,3831.36,;
ESTADOS UNIDOS,TECUN UMAN,14/05/2016, 87032490,2003,BMW,X5 4.4i 4WD,4400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,23272.41,2792.69,;
ESTADOS UNIDOS,TECUN UMAN,18/05/2016, 87032379,2005,BMW,Z4 3.0i,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,2,2,0,26602.81,3192.34,;
ALEMANIA REP. FED.,TECUN UMAN,31/05/2016, 87032490,2006,BMW,325I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,30731.57,3687.79,;
ALEMANIA REP. FED.,PUERTO BARRIOS,28/05/2016, 87032379,2008,BMW,328I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,33944.16,4073.3,;
