"INDIA,PUERTO QUETZAL,04/04/2018, 8703219000,2018,BAJAJ,QUTE QCAR LHD,217,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,4,0,566143.28,67937.19,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8703219000,2018,BAJAJ,QUTE QCAR LHD,217,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,4,0,566143.28,67937.19,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8703219000,2018,BAJAJ,QUTE QCAR LHD,217,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,4,0,566143.28,67937.19,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8703219000,2018,BAJAJ,QUTE QCAR LHD,217,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,4,0,566143.28,67937.19,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8703219000,2018,BAJAJ,QUTE QCAR LHD,217,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,4,0,566143.28,67937.19,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8703219000,2018,BAJAJ,QUTE QCAR LHD,217,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,4,0,566143.28,67937.19,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8703219000,2018,BAJAJ,QUTE QCAR LHD,217,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,4,0,566143.28,67937.19,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8703219000,2018,BAJAJ,QUTE QCAR LHD,217,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,4,0,566143.28,67937.19,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8703219000,2018,BAJAJ,QUTE QCAR LHD,217,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,4,0,566143.28,67937.19,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8703219000,2018,BAJAJ,QUTE QCAR LHD,217,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,4,0,566143.28,67937.19,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8703219000,2018,BAJAJ,QUTE QCAR LHD,217,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,4,0,566143.28,67937.19,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8703219000,2018,BAJAJ,QUTE QCAR LHD,217,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,4,0,566143.28,67937.19,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8703219000,2018,BAJAJ,QUTE QCAR LHD,217,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,4,0,566143.28,67937.19,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8703219000,2018,BAJAJ,QUTE QCAR LHD,217,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,4,0,566143.28,67937.19,",
"ESTADOS UNIDOS,EL CARMEN,03/04/2018, 8704315100,1999,TOYOTA,TACOMA XTRA CAB 4X4 SR5,3400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,25018.42,3002.21,",
"JAPON,TECUN UMAN,04/04/2018, 8704315100,1988,TOYOTA,STD 4WD EFI,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,16876.33,2025.16,",
"JAPON,TECUN UMAN,04/04/2018, 8711409000,2000,SUZUKI,GSX750R,749,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,14367.53,1724.1,",
"JAPON,TECUN UMAN,04/04/2018, 8703226900,2010,TOYOTA,YARIS,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,15914.09,1909.69,",
"JAPON,PUERTO BARRIOS,03/04/2018, 8703236900,2009,TOYOTA,COROLLA LE,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,19748.27,2369.79,",
"JAPON,TECUN UMAN,04/04/2018, 8703237900,2007,HONDA,CR-V LX 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,25447.73,3053.73,",
"ESTADOS UNIDOS,PUERTO BARRIOS,03/04/2018, 8703236900,2012,HYUNDAI,ELANTRA LIMITED,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,23164.99,2779.8,",
"COREA DEL SUR,PUERTO BARRIOS,03/04/2018, 8703236900,2011,KIA,SPORTAGE T-GDI 4X2,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,25753.06,3090.37,",
"JAPON,PUERTO BARRIOS,08/03/2018, 8703236900,2012,MAZDA,MAZDA3 I SPORT,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,9468.84,1136.26,",
"ESTADOS UNIDOS,TECUN UMAN,10/03/2018, 87163900,1996,GREAT DANE,SIN LINEA,0,PESADO,FURGON,OCASIONAL,OTROS,0,2,20,25268.33,3032.2,",
"ESTADOS UNIDOS,EL CARMEN,10/03/2018, 8704315100,1994,TOYOTA,DX XTRACAB 4WD,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,23563.75,2827.65,",
"JAPON,PUERTO BARRIOS,10/03/2018, 8703236900,2001,TOYOTA,RAV4 4X4,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,21808.41,2617.01,",
"ESTADOS UNIDOS,TECUN UMAN,10/03/2018, 8701200000,2005,FREIGHTLINER,CENTURY CLASS ST120,12700,PESADO,CABEZAL,OCASIONAL,DIESEL,2,2,20,55560.77,6667.29,",
"JAPON,EL CARMEN,10/03/2018, 8704315100,1986,TOYOTA,SR5 2WD,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,21876.76,2625.21,",
"ESTADOS UNIDOS,PUERTO BARRIOS,12/03/2018, 8703237900,2003,HONDA,ELEMENT EX 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,4,4,0,10485.97,1258.32,",
"ESTADOS UNIDOS,EL CARMEN,24/03/2018, 8704315100,1991,NISSAN,4X2,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,26443.83,3173.26,",
"ESTADOS UNIDOS,EL CARMEN,24/03/2018, 8704315100,2001,TOYOTA,TACOMA LIMITED D/C 4X4,3400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,4,1,13722.55,1646.71,",
"ESTADOS UNIDOS,EL CARMEN,25/03/2018, 8704315100,1994,NISSAN,XE 4X2,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,26443.9,3173.27,",
"JAPON,EL CARMEN,25/03/2018, 8704219900,2000,ISUZU,NPR,4700,PESADO,CAMION FURGON,OCASIONAL,DIESEL,3,2,3.4,39355.23,4722.63,",
"COREA DEL SUR,PUERTO QUETZAL,11/03/2018, 8703337000,2006,HYUNDAI,TERRACAN JX290,2900,LIVIANO,CAMIONETA,OCASIONAL,DIESEL,7,5,0,15486.09,1858.33,",
"ESTADOS UNIDOS,TECUN UMAN,10/03/2018, 8704315100,2007,NISSAN,FRONTIER SE CREW CAB 4X2,4000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,4,1,37813.83,4537.66,",
