"Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto",
"ALEMANIA REP. FED.,EXPRESS AEREO,06/07/2018, 8704216100,2003,DODGE,SPRINTER,2700,LIVIANO,PANEL,OCASIONAL,DIESEL,2,5,1.5,41605.56,4992.67,",
"JAPON,EL CARMEN,06/07/2018, 8711209000,2006,KAWASAKI,BN125-A ELIMINATOR,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,12858.2,1542.98,",
"COREA DEL SUR,PUERTO BARRIOS,06/07/2018, 8703236900,2015,HYUNDAI,ACCENT GS,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,20351.84,2442.22,",
"TAILANDIA,PUERTO QUETZAL,06/07/2018, 8703226900,2019,TOYOTA,YARIS,1496,LIVIANO,AUTOMOVIL,DISTRIBUIDOR,GASOLINA,5,4,0,258239.25,30988.71,",
"TAILANDIA,PUERTO QUETZAL,06/07/2018, 8703226900,2019,TOYOTA,YARIS,1496,LIVIANO,AUTOMOVIL,DISTRIBUIDOR,GASOLINA,5,4,0,258239.25,30988.71,",
"TAILANDIA,PUERTO QUETZAL,06/07/2018, 8703226900,2019,TOYOTA,YARIS,1496,LIVIANO,AUTOMOVIL,DISTRIBUIDOR,GASOLINA,5,4,0,258239.25,30988.71,",
"TAILANDIA,PUERTO QUETZAL,06/07/2018, 8703226900,2019,TOYOTA,YARIS,1496,LIVIANO,AUTOMOVIL,DISTRIBUIDOR,GASOLINA,5,4,0,93911.99,11269.44,",
"TAILANDIA,PUERTO QUETZAL,06/07/2018, 8704215900,2019,TOYOTA,HILUX,2393,LIVIANO,PICK UP,DISTRIBUIDOR,DIESEL,5,4,1,229216.53,27505.98,",
"TAILANDIA,PUERTO QUETZAL,06/07/2018, 8704215900,2019,TOYOTA,HILUX,2393,LIVIANO,PICK UP,DISTRIBUIDOR,DIESEL,5,4,1,229216.53,27505.98,",
"JAPON,PUERTO BARRIOS,06/07/2018, 8703226900,2007,HONDA,FIT,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,9459.19,1135.1,",
"JAPON,PUERTO BARRIOS,06/07/2018, 8703236900,2008,MAZDA,MAZDA3 I SPORT,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,10075.88,1209.11,",
"ESTADOS UNIDOS,PUERTO BARRIOS,06/07/2018, 8704315100,2008,TOYOTA,TUNDRA V6 SR5 4X2 D/C,4000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,6,4,1,46667.71,5600.13,",
"JAPON,EL CARMEN,06/07/2018, 8703236900,2005,MITSUBISHI,LANCER ES,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,21564.86,2587.78,",
"JAPON,PUERTO BARRIOS,06/07/2018, 8703236900,2008,MITSUBISHI,LANCER GTS,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,10589.55,1270.75,",
"REINO UNIDO,EL CARMEN,12/06/2018, 8703237900,2003,HONDA,CR-V EX 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,14438.52,1732.62,",
"JAPON,EL CARMEN,12/06/2018, 8703237900,2002,HONDA,CR-V EX 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,21433.35,2572,",
"JAPON,EL CARMEN,12/06/2018, 8704315100,1990,TOYOTA,SR5 XTRA CAB 4X4,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,23270.41,2792.45,",
"ESTADOS UNIDOS,EL CARMEN,12/06/2018, 8703236900,2016,TOYOTA,Corolla S,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,46233.2,5547.98,",
"COREA DEL SUR,PUERTO BARRIOS,12/06/2018, 8703236900,2012,HYUNDAI,VELOSTER,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,3,0,22633.47,2716.02,",
"JAPON,EL CARMEN,12/06/2018, 8704315100,1987,TOYOTA,4X4 STD,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,23270.34,2792.44,",
"ESTADOS UNIDOS,TECUN UMAN,12/06/2018, 8703249000,2007,BMW,X5 4.8i 4WD,4800,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,38602.48,4632.3,",
"COREA DEL SUR,PUERTO QUETZAL,12/06/2018, 8703326900,2007,KIA,SPORTAGE LX 4X2,2000,LIVIANO,CAMIONETA,OCASIONAL,DIESEL,5,5,0,23797.38,2855.69,",
"REINO UNIDO,EL CARMEN,12/06/2018, 8703236900,2013,HYUNDAI,ELANTRA GLS,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,31779.71,3813.57,",
"JAPON,EL CARMEN,12/06/2018, 8704219900,1997,ISUZU,NPR,3900,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.4,44288.11,5314.57,",
"JAPON,SANTO TOMAS DE CASTILLA,12/06/2018, 8703247000,2016,TOYOTA,4RUNNER SR5 4WD,4000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,114677.78,13761.33,",
