"JAPON,EL CARMEN,12/06/2018, 8703247000,2002,MITSUBISHI,MONTERO SPORT XLS 4WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,23041.79,2765.01,",
"CANADA,SANTO TOMAS DE CASTILLA,12/06/2018, 8703236900,2002,TOYOTA,COROLLA CE,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,10091.33,1210.96,",
"JAPON,SANTO TOMAS DE CASTILLA,12/06/2018, 8703247000,2000,TOYOTA,4RUNNER SR5 4WD,3400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,16493.96,1979.28,",
"JAPON,EL CARMEN,12/06/2018, 8711209000,2008,HONDA,CRF150R,149,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,9734.41,1168.13,",
"JAPON,PUERTO BARRIOS,12/06/2018, 8703237900,2015,MAZDA,CX-5 TOURING AWD,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,29359.58,3523.15,",
"ESTADOS UNIDOS,PUERTO BARRIOS,12/06/2018, 8704315100,2015,TOYOTA,TACOMA 4X2 EXTRA CAB,2700,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,4,1,42794.06,5135.29,",
"ALEMANIA REP. FED.,EL CARMEN,13/06/2018, 8703237900,2004,BMW,330i,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,25061.69,3007.4,",
"CANADA,PUERTO BARRIOS,12/06/2018, 8703236900,2010,TOYOTA,COROLLA S,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,23488.86,2818.66,",
"JAPON,G8"," CENTRALSA,13/06/2018, 8703226900,2009,TOYOTA,YARIS,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,18095.83,2171.5,"
"JAPON,EL CARMEN,13/06/2018, 8703237900,2005,HONDA,CR-V 2WD LX,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,25295.24,3035.43,",
"JAPON,EL CARMEN,13/06/2018, 8703237900,2007,HONDA,CR-V LX 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,17811.44,2137.37,",
"CANADA,SANTO TOMAS DE CASTILLA,13/06/2018, 8703236900,2008,HONDA,CIVIC LX,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,11677.27,1401.27,",
"JAPON,G8"," CENTRALSA,15/06/2018, 8703226900,2007,TOYOTA,YARIS,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14466.19,1735.94,"
"MEXICO,PUERTO BARRIOS,06/07/2018, 8703236900,2015,MAZDA,MAZDA3 I SPORT,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,27068.1,3248.17,",
"COREA DEL SUR,PUERTO QUETZAL,08/06/2018, 8703337000,2005,HYUNDAI,TERRACAN,2902,LIVIANO,CAMIONETA,OCASIONAL,DIESEL,7,5,0,27220.97,3266.52,",
"JAPON,EL CARMEN,13/06/2018, 8704315100,1989,TOYOTA,XTRA CAB 4X2 SR5,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,22147.78,2657.73,",
"ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,13/06/2018, 8704315100,1993,TOYOTA,DLX 4WD,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,3,2,1,12072.87,1448.74,",
"JAPON,EL CARMEN,13/06/2018, 8704315100,1991,TOYOTA,4X2 STANDARD,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,22147.71,2657.73,",
"COREA DEL SUR,SANTO TOMAS DE CASTILLA,13/06/2018, 8703237900,2014,HYUNDAI,TUCSON GLS AWD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,40883.1,4905.97,",
"MEXICO,SANTO TOMAS DE CASTILLA,13/06/2018, 8703236900,2016,HONDA,HR-V EX 4WD,1800,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,45582.93,5469.95,",
"JAPON,EL CARMEN,14/06/2018, 8703226900,2013,MAZDA,MAZDA2 TOURING,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12893.73,1547.25,",
"JAPON,TECUN UMAN,14/06/2018, 8703237900,2014,MAZDA,CX-5 GRAND TOURING 4X2,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,26580.68,3189.68,",
"JAPON,EL CARMEN,14/06/2018, 8703247000,2004,TOYOTA,4RUNNER SR5 4WD,4000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,29035.2,3484.22,",
"CANADA,SANTO TOMAS DE CASTILLA,14/06/2018, 8703236900,2007,TOYOTA,COROLLA S,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,18028.17,2163.38,",
"JAPON,EL CARMEN,14/06/2018, 8703237900,2004,HONDA,CR-V 4WD EX,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,27987.54,3358.5,",
"ESTADOS UNIDOS,EL CARMEN,14/06/2018, 8704315100,2000,TOYOTA,TACOMA XTRA CAB 4X4 SR5,3400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,32253.02,3870.36,",
"ESTADOS UNIDOS,TECUN UMAN,14/06/2018, 8704315100,1999,TOYOTA,TACOMA SR5 XTRA CAB 4WD,3400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,29035.2,3484.22,",
"JAPON,SANTO TOMAS DE CASTILLA,14/06/2018, 8703226900,2009,TOYOTA,YARIS,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,14148.68,1697.84,",
"JAPON,SANTO TOMAS DE CASTILLA,14/06/2018, 8703237900,2006,MITSUBISHI,OUTLANDER LS 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,13654.25,1638.51,",
"CANADA,PUERTO BARRIOS,14/06/2018, 8703236900,2010,HONDA,CIVIC LX-S,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,19235.15,2308.22,",
"JAPON,PUERTO BARRIOS,15/06/2018, 8703247000,2002,MITSUBISHI,MONTERO LIMITED 4WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,19305.04,2316.6,",
"CANADA,PUERTO BARRIOS,14/06/2018, 8703236900,2008,HONDA,CIVIC LX,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13340.7,1600.88,",
"COREA DEL SUR,G8"," CENTRALSA,15/06/2018, 8703236900,2006,KIA,SPORTAGE LX,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,12931.14,1551.74,"
"CANADA,EL CARMEN,15/06/2018, 8703236900,2015,TOYOTA,COROLLA LE,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,51466.53,6175.98,",
"REINO UNIDO,PUERTO BARRIOS,15/06/2018, 8703237900,2003,HONDA,CR-V EX 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,21454.36,2574.52,",
"ESTADOS UNIDOS,EL CARMEN,15/06/2018, 8704315100,2011,TOYOTA,TACOMA PRERUNNER A/C 4X2,2700,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,4,1,38210.9,4585.31,",
"JAPON,EL CARMEN,15/06/2018, 8703237900,2007,TOYOTA,RAV4 LIMITED I4 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,32016.97,3842.04,",
"JAPON,TECUN UMAN,15/06/2018, 8703237900,2007,HONDA,CR-V EX-L 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,27379,3285.48,",
"ESTADOS UNIDOS,PUERTO BARRIOS,15/06/2018, 8704316100,1996,FORD,ECONOLINE E250,4900,LIVIANO,PANEL,OCASIONAL,GASOLINA,2,4,1,14672.9,1760.75,",
"COREA DEL SUR,PUERTO BARRIOS,15/06/2018, 8703236900,2016,HYUNDAI,ACCENT,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,2,26391.56,3166.99,",
"JAPON,G8"," CENTRALSA,18/06/2018, 8703236900,2002,TOYOTA,CELICA,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,11168.54,1340.22,"
"ESTADOS UNIDOS,TECUN UMAN,15/06/2018, 8704315100,1998,TOYOTA,TACOMA SR5 XTRACAB 4WD,2700,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,21544.13,2585.3,",
"ESTADOS UNIDOS,EL CARMEN,15/06/2018, 8703236900,1992,TOYOTA,COROLLA DX,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,15746.66,1889.6,",
"JAPON,EL CARMEN,15/06/2018, 8703237900,2010,MAZDA,MAZDA 3S,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,19000.72,2280.09,",
"ESTADOS UNIDOS,TECUN UMAN,16/06/2018, 8703237900,2013,HONDA,CR-V EX-L 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,39707.02,4764.84,",
"MEXICO,SANTO TOMAS DE CASTILLA,16/06/2018, 8703236900,2015,MAZDA,MAZDA3 I GRAND TOURING,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,25526.87,3063.22,",
"ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,07/07/2018, 8703237900,2004,BMW,325I,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,9295.8,1115.5,",
"JAPON,PUERTO BARRIOS,06/07/2018, 8703237900,2006,HONDA,CR-V EX 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,19361.73,2323.41,",
"ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,07/07/2018, 8704315100,2002,TOYOTA,TACOMA PRERUNNER SR5,2700,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,2,1,21349.96,2562,",
"JAPON,TECUN UMAN,07/07/2018, 8703237900,2013,MITSUBISHI,OUTLANDER SE 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,25233.89,3028.07,",
"JAPON,PUERTO BARRIOS,07/07/2018, 8703237900,2006,TOYOTA,RAV4 SPORT 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,30131.81,3615.82,",
"JAPON,TECUN UMAN,07/07/2018, 8703236900,2012,MAZDA,MAZDA3,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14077.06,1689.25,",
"JAPON,G8"," CENTRALSA,18/06/2018, 8703237900,2013,MAZDA,CX-5 GRAND TOURING,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,26630.94,3195.71,"
"CANADA,TECUN UMAN,16/06/2018, 8703236900,2013,HONDA,CIVIC SI,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,21544.13,2585.3,",
"JAPON,TECUN UMAN,16/06/2018, 8703249000,2005,TOYOTA,4RUNNER SPORT E  2WD,4000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,36505.33,4380.64,",
"JAPON,TECUN UMAN,16/06/2018, 8704315100,1985,TOYOTA,DLX XTRA CAB 4X2,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,14811.59,1777.39,",
"JAPON,TECUN UMAN,16/06/2018, 8703237900,2008,MAZDA,CX-7 GRAND TOURING 2WD,2300,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,17691.62,2122.99,",
"JAPON,TECUN UMAN,16/06/2018, 8704215100,1983,TOYOTA,STD 4X2,2200,LIVIANO,PICK UP,OCASIONAL,DIESEL,3,2,1,15559.65,1867.16,",
"JAPON,TECUN UMAN,16/06/2018, 8703236900,2003,TOYOTA,RAV4 4WD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,23788.31,2854.6,",
"MEXICO,PUERTO BARRIOS,16/06/2018, 8703226900,2015,HONDA,FIT,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,26765.59,3211.87,",
"ESTADOS UNIDOS,PUERTO BARRIOS,16/06/2018, 8703215200,2006,HONDA,TRX500FE,475,,CUATRIMOTO,OCASIONAL,GASOLINA,1,0,0,17130.57,2055.67,",
"JAPON,EL CARMEN,16/06/2018, 8703236900,2012,MAZDA,MAZDA3 i SPORT,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14609.61,1753.15,",
"ESTADOS UNIDOS,EL CARMEN,16/06/2018, 8703236900,2008,HONDA,CIVIC EX,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14572.21,1748.67,",
"COREA DEL SUR,TECUN UMAN,16/06/2018, 8703237900,2015,KIA,SPORTAGE LX 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,35592.69,4271.12,",
"ESTADOS UNIDOS,EL CARMEN,16/06/2018, 8703248000,2007,HONDA,ODYSSEY EX,3500,LIVIANO,MICROBUS,OCASIONAL,GASOLINA,7,4,0,13263.1,1591.57,",
"JAPON,TECUN UMAN,16/06/2018, 8704215900,2000,ISUZU,NPR HD,4750,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.3,36056.49,4326.78,",
"JAPON,TECUN UMAN,16/06/2018, 8703226900,2008,HONDA,FIT SPORT,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12402.83,1488.34,",
"ESTADOS UNIDOS,TECUN UMAN,16/06/2018, 8704315100,2016,NISSAN,FRONTIER SV CREW CAB 2WD,4000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,4,1,60929.49,7311.54,",
"JAPON,TECUN UMAN,16/06/2018, 8703247000,1996,TOYOTA,4RUNNER LIMITED 4WD,3400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,31268.91,3752.27,",
"JAPON,TECUN UMAN,16/06/2018, 8711209000,2007,HONDA,CRF250R,250,LIVIANO,MOTO,OCASIONAL,GASOLINA,1,0,0,10285.83,1234.3,",
"JAPON,EL CARMEN,16/06/2018, 8703249000,2009,MAZDA,CX-9 2WD,3700,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,15484.84,1858.18,",
"JAPON,TECUN UMAN,16/06/2018, 8703236900,2010,MAZDA,MAZDA3,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,10996.48,1319.58,",
"ESTADOS UNIDOS,TECUN UMAN,17/06/2018, 8716390000,1996,ALLOY,ATVT-53,0,PESADO,FURGON,OCASIONAL,OTROS,0,2,20,24835.59,5761.86,",
"JAPON,EL CARMEN,17/06/2018, 8704315100,1990,TOYOTA,XTRA CAB 4X4 DLX,3000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,22894.9,2747.39,",
"ESTADOS UNIDOS,EL CARMEN,17/06/2018, 8704315100,1994,TOYOTA,4X2 STD,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,22144.89,2657.39,",
"ESTADOS UNIDOS,EL CARMEN,17/06/2018, 8703237900,2004,HONDA,ELEMENT EX 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,14085.97,1690.32,",
"CANADA,EL CARMEN,18/06/2018, 8703237900,2013,TOYOTA,RAV4 XLE 2WD,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,46514.37,5581.72,",
"ESTADOS UNIDOS,G1"," INTEGRADA,19/06/2018, 8703236900,2009,TOYOTA,COROLLA S,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16035,1924.2,"
"ESTADOS UNIDOS,TECUN UMAN,12/06/2018, 87163900,1992,STOUGHTON,AVW-535T-S-C,0,PESADO,FURGON,OCASIONAL,OTROS,0,2,20,26328.19,3159.38,",
"REINO UNIDO,SANTO TOMAS DE CASTILLA,09/06/2018, 8703237900,2004,HONDA,CR-V EX 4X4,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,16371.49,1964.58,",
"COREA DEL SUR,PUERTO QUETZAL,12/06/2018, 8703339000,2003,HYUNDAI,TERRACAN JX290 4X4,2900,LIVIANO,CAMIONETA,OCASIONAL,DIESEL,7,5,0,19731.18,2367.74,",
"ESTADOS UNIDOS,EL CARMEN,15/06/2018, 8704219900,1989,FORD,ECONOLINE E350 CUTAWAY,7300,PESADO,CAMION FURGON,OCASIONAL,DIESEL,3,2,3.5,39796.79,4775.61,",
"JAPON,SANTO TOMAS DE CASTILLA,18/06/2018, 8703249000,2013,MAZDA,CX-9 GRAND TOURING FWD,3700,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,32935.57,3952.27,",
"ESTADOS UNIDOS,EL CARMEN,18/06/2018, 8703236900,2009,TOYOTA,COROLLA S,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,31748.25,3809.79,",
"JAPON,EL CARMEN,18/06/2018, 8711309000,1998,YAMAHA,WR400F,400,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,12284.77,1474.17,",
"JAPON,EL CARMEN,18/06/2018, 8704219900,2000,HINO,FB1817,5300,PESADO,CAMION,OCASIONAL,GASOLINA,3,2,5,45843.63,5501.24,",
"JAPON,EL CARMEN,18/06/2018, 8704315100,1978,TOYOTA,STD 4X2,2200,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,21959.57,2635.15,",
"JAPON,TECUN UMAN,18/06/2018, 8703226900,2001,TOYOTA,ECHO,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12570.6,1508.47,",
"ESTADOS UNIDOS,EL CARMEN,18/06/2018, 8703237900,2008,HONDA,CR-V LX 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,22507.36,2700.88,",
"ESTADOS UNIDOS,TECUN UMAN,18/06/2018, 8704315100,2007,TOYOTA,TACOMA SR5 DOUBLE CAB 2WD,4000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,4,1,54683.53,6562.02,",
"JAPON,PUERTO BARRIOS,18/06/2018, 8704315100,1988,TOYOTA,EFI 4WD,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,20874.6,2504.95,",
"JAPON,EL CARMEN,18/06/2018, 8703226900,2012,TOYOTA,YARIS LE,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,20524.5,2462.94,",
"CANADA,PUERTO BARRIOS,18/06/2018, 8703237900,2016,TOYOTA,RAV-4 LE 4WD,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,52544.36,6305.32,",
"JAPON,PUERTO BARRIOS,18/06/2018, 8703236900,2012,MITSUBISHI,OUTLANDER SPORT 4WD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,28493.36,3419.2,",
"CANADA,PUERTO BARRIOS,18/06/2018, 8703237900,2015,HONDA,CR-V EX 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,72395.73,8687.49,",
"ESTADOS UNIDOS,EL CARMEN,18/06/2018, 8704315100,1999,NISSAN,FRONTIER KING CAB  XE 4X2,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,15024.86,1802.98,",
"JAPON,EL CARMEN,18/06/2018, 8703236900,2003,TOYOTA,RAV4 S 2WD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,32459.09,3895.09,",
"JAPON,EL CARMEN,18/06/2018, 8703249000,2001,TOYOTA,4RUNNER 2WD SR5,3400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,23046.1,2765.53,",
"ESTADOS UNIDOS,EL CARMEN,18/06/2018, 8703237400,2000,TOYOTA,SIENNA LE,3000,LIVIANO,MICROBUS,OCASIONAL,GASOLINA,7,4,0,23046.1,2765.53,",
"ESTADOS UNIDOS,EL CARMEN,18/06/2018, 8703215200,2003,POLARIS,PREDATOR 500,499,,CUATRIMOTO,OCASIONAL,GASOLINA,2,0,0,23360.59,2803.27,",
"MEXICO,EL CARMEN,18/06/2018, 8703236900,2014,VOLKSWAGEN,JETTA SE,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,19664.01,2359.68,",
"CANADA,SANTO TOMAS DE CASTILLA,09/06/2018, 8703236900,2000,TOYOTA,COROLLA VE,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,10048.86,1205.86,",
"CANADA,SANTO TOMAS DE CASTILLA,13/06/2018, 8703236900,2005,TOYOTA,COROLLA CE,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,24627.69,2955.32,",
"JAPON,TECUN UMAN,14/06/2018, 8704315100,1990,TOYOTA,XTRA CAB SR5 4WD,3000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,16314.68,1957.76,",
"JAPON,SANTO TOMAS DE CASTILLA,16/06/2018, 8703236900,2000,HONDA,CR-V LX 2WD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,17770.76,2132.49,",
"JAPON,EL CARMEN,18/06/2018, 8704315100,1991,TOYOTA,SR5 XTRA CAB 4X4,3000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,23271.62,2792.59,",
"COREA DEL SUR,PUERTO BARRIOS,18/06/2018, 8703236900,2007,KIA,SPORTAGE LX 2WD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,11228.76,1347.45,",
"JAPON,TECUN UMAN,18/06/2018, 8711209000,2002,HONDA,XR100R,99,LIVIANO,MOTO,OCASIONAL,GASOLINA,1,0,0,4937.7,592.52,",
"BRASIL,EL CARMEN,19/06/2018, 8711209000,2017,HONDA,CRF230F,223,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,17770.94,2132.51,",
