Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo_del_Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Pais_de_Proveniencia,Impuesto,
MEXICO,EXPRESS AEREO,12/04/2018, 87032369,2003,NISSAN,SENTRA GXE,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,15500.47,1860.06,
"ESTADOS UNIDOS,G4,"" ALSERSA,09/04/2018, 8704315100,1995,TOYOTA,EXTRA CAB DX 4X2,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,32821.81,3938.62,"""
"ESTADOS UNIDOS,G4,"" ALSERSA,09/04/2018, 8704315100,1994,TOYOTA,ESTANDAR 4X2,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,19272.13,2312.66,"""
"ESTADOS UNIDOS,G4,"" ALSERSA,09/04/2018, 8704315100,1994,TOYOTA,ESTANDAR 4X2,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,21389.19,2566.7,"""
"ESTADOS UNIDOS,G4,"" ALSERSA,09/04/2018, 8704315100,1994,TOYOTA,ESTANDAR 4X2,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,8867.8,1064.14,"""
JAPON,EL CARMEN,08/04/2018, 8704315100,1991,TOYOTA,4X2 STD,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,22074.89,2648.99,
REINO UNIDO,PUERTO BARRIOS,08/04/2018, 8703237900,2004,HONDA,CR-V EX 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,7428.68,891.44,
JAPON,EL CARMEN,08/04/2018, 8703249000,2001,TOYOTA,4RUNNER SR5 4X2,3400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,20611.79,2473.41,
"ALEMANIA REP. FED.,G8,"" CENTRALSA,10/04/2018, 8703237900,2004,BMW,525I,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,15828.04,1899.36,"""
"JAPON,G8,"" CENTRALSA,09/04/2018, 8703237900,2010,MAZDA,MAZDA 5,2300,LIVIANO,MICROBUS,OCASIONAL,GASOLINA,6,4,0,17451.56,2094.19,"""
JAPON,EL CARMEN,09/04/2018, 8711209000,2002,HONDA,XR100R,100,LIVIANO,MOTO,OCASIONAL,GASOLINA,1,0,0,4916,589.92,
ESTADOS UNIDOS,PUERTO BARRIOS,10/04/2018, 8704315100,2003,TOYOTA,TACOMA SR5 4X4 EXTRA CAB,3400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,2,1,23748.15,2849.78,
ESTADOS UNIDOS,TECUN UMAN,10/04/2018, 87163900,1987,LUFKIN,TFV-IP ST,0,PESADO,FURGON,OCASIONAL,OTROS,0,2,20,26044.83,3125.38,
ALEMANIA REP. FED.,PUERTO BARRIOS,10/04/2018, 8703236900,2015,MINI,COOPER,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,40883.65,4906.04,
JAPON,SANTO TOMAS DE CASTILLA,10/04/2018, 8703226900,2011,MAZDA,MAZDA2,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11216.44,1345.97,
JAPON,SANTO TOMAS DE CASTILLA,12/04/2018, 8703236900,2008,MAZDA,MAZDA3 i SPORT,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13003.73,1560.45,
MEXICO,EL CARMEN,17/04/2018, 8704315100,2006,TOYOTA,TACOMA DOUBLE CAB 4X4 SR5,4000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,4,1,30565.3,3667.84,
JAPON,EL CARMEN,19/04/2018, 8703236900,2000,TOYOTA,RAV4 4WD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,21316.9,2558.03,
JAPON,TECUN UMAN,21/04/2018, 8703237900,2007,HONDA,CR-V EX-L 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,23297.4,2795.69,
JAPON,PUERTO BARRIOS,24/04/2018, 8703236900,2011,MAZDA,MAZDA3 I,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14049.76,1685.97,
ESTADOS UNIDOS,TECUN UMAN,26/04/2018, 8704315100,1999,TOYOTA,TACOMA XTRA CAB SR5 4WD,3400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,23908.14,2868.98,
JAPON,EL CARMEN,26/04/2018, 8704315100,1994,TOYOTA,STANDARD 4X2,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,22075.72,2649.09,
"ESTADOS UNIDOS,G1,"" INTEGRADA,27/04/2018, 8703236900,2004,TOYOTA,COROLLA CE,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12765.19,1531.82,"""
JAPON,EL CARMEN,27/04/2018, 8704315100,1990,TOYOTA,SR5  Xtracab 4WD,3000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,23206.72,2784.81,
COREA DEL SUR,TECUN UMAN,27/04/2018, 8703236900,2015,HYUNDAI,ACCENT GLS,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,20628.86,2475.46,
ESTADOS UNIDOS,EL CARMEN,11/04/2018, 8704315100,2001,NISSAN,FRONTIER XE CREW CAB 4X2,3300,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,4,1,32308.63,3877.04,
COREA DEL SUR,SANTO TOMAS DE CASTILLA,11/04/2018, 8703236900,2009,KIA,RIO LX,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12452.2,1494.26,
JAPON,SANTO TOMAS DE CASTILLA,11/04/2018, 8703226900,2013,TOYOTA,YARIS LE,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,27645.72,3317.49,
"JAPON,G8,"" CENTRALSA,12/04/2018, 8703249000,2003,MITSUBISHI,MONTERO LIMITED 4WD,3800,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,16158.13,1938.98,"""
JAPON,PUERTO BARRIOS,11/04/2018, 8703236900,2010,MAZDA,MAZDA3 I,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,9538.63,1144.64,
JAPON,PUERTO BARRIOS,11/04/2018, 8703249000,2004,TOYOTA,4RUNNER SPORT SR5 4WD,4000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,39076.32,4689.16,
JAPON,TECUN UMAN,12/04/2018, 8703249000,2001,TOYOTA,4RUNNER SR5 2WD,3400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,25015.72,3001.89,
JAPON,EL CARMEN,12/04/2018, 8703236900,1998,TOYOTA,RAV4 4WD 1998,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,14676.38,1761.17,
JAPON,EL CARMEN,12/04/2018, 8704315100,1990,TOYOTA,XTRA CAB 4X4 DLX,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,23574.95,2828.99,
JAPON,EL CARMEN,12/04/2018, 8704315100,1985,TOYOTA,4X4 SR5,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,23200.01,2784,
FRANCIA,SANTO TOMAS DE CASTILLA,12/04/2018, 8703226900,2015,TOYOTA,YARIS LE,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,26293.74,3155.25,
JAPON,SANTO TOMAS DE CASTILLA,12/04/2018, 8703226900,2007,TOYOTA,YARIS,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16513.56,1981.63,
"ESTADOS UNIDOS,G8,"" CENTRALSA,13/04/2018, 8703237900,2016,ACURA,ILX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,26873.39,3224.81,"""
COREA DEL SUR,SANTO TOMAS DE CASTILLA,12/04/2018, 8703236900,2007,HYUNDAI,ACCENT SE,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,8012.36,961.48,
ESTADOS UNIDOS,TECUN UMAN,12/04/2018, 8704315100,2000,NISSAN,FRONTIER XE KING CAB 2WD,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,18724.78,2246.97,
COREA DEL SUR,EL CARMEN,13/04/2018, 8703236900,2013,KIA,RIO EX,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,20649.07,2477.89,
JAPON,TECUN UMAN,13/04/2018, 8704215900,2003,MITSUBISHI FUSO,FH210,4900,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.4,33452.97,4014.36,
JAPON,PUERTO BARRIOS,13/04/2018, 8703237900,2006,HONDA,CR-V EX 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,20852.64,2502.32,
JAPON,PUERTO BARRIOS,13/04/2018, 8703236900,2008,SCION,XD,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,10677.91,1281.35,
