Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
JAPON,SANTO TOMAS DE CASTILLA,08/07/2018, 8703237900,2004,TOYOTA,RAV4 S 4X4,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,26577.95,3189.35,
JAPON,PUERTO BARRIOS,09/07/2018, 8704315100,1985,TOYOTA,DLX 4X4,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,3,2,1,12328.33,1479.4,
ESTADOS UNIDOS,EL CARMEN,09/07/2018, 8704315100,1999,TOYOTA,TACOMA PRERUNNER 4X2 SR5,2700,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,25308.09,3036.97,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2018,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,344921.83,41390.62,
