Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,Impuesto;
JAPON,PUERTO BARRIOS,17/05/2019, 8704315100,1991,TOYOTA,DLX 4WD,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,3,2,1,16024.24,1922.91,;
ESTADOS UNIDOS,TECUN UMAN,17/05/2019, 8716390000,1995,WABASH,SW 102.5 CW,0,PESADO,FURGON,OCASIONAL,OTROS,0,2,20,21605.71,5012.52,;
JAPON,PUERTO BARRIOS,17/05/2019, 8703226900,2014,TOYOTA,YARIS LE,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,24463.49,2935.62,;
JAPON,PUERTO BARRIOS,17/05/2019, 8703236900,2013,MITSUBISHI,LANCER ES,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,20896.4,2507.57,;
ESTADOS UNIDOS,EL CARMEN,17/05/2019, 8703247000,2009,TOYOTA,SIENNA LE,3500,LIVIANO,MICROBUS,OCASIONAL,GASOLINA,7,4,0,35856.29,4302.75,;
ESTADOS UNIDOS,TECUN UMAN,17/05/2019, 8701200000,1998,FREIGHTLINER,D120064S T,12700,PESADO,CABEZAL,OCASIONAL,DIESEL,2,2,15,36928.91,4431.47,;
COREA DEL SUR,TECUN UMAN,17/05/2019, 8703236900,2010,KIA,FORTE KOUP EX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,15078.03,1809.36,;
JAPON,EL CARMEN,17/05/2019, 8703237900,2005,TOYOTA,RAV4 L 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,27428.53,3291.42,;
JAPON,TECUN UMAN,17/05/2019, 8703236900,2011,MAZDA,MAZDA3 i SPORT,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13177.95,1581.35,;
JAPON,TECUN UMAN,17/05/2019, 8703237900,2008,HONDA,CR-V LX 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,19521.76,2342.61,;
JAPON,TECUN UMAN,17/05/2019, 8703226900,2009,TOYOTA,YARIS,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,12105.33,1452.64,;
JAPON,TECUN UMAN,17/05/2019, 8703237900,2004,HONDA,CR-V EX 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,12894.47,1547.34,;
MEXICO,TECUN UMAN,17/05/2019, 8703236900,2015,NISSAN,VERSA NOTE S,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,21950.48,2634.06,;
JAPON,TECUN UMAN,17/05/2019, 8703249000,2008,TOYOTA,HIGHLANDER V6 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,45050.21,5406.03,;
CANADA,PUERTO BARRIOS,17/05/2019, 8703236900,2016,HONDA,CIVIC LX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,28508.81,3421.06,;
JAPON,TECUN UMAN,17/05/2019, 8703237900,2007,HONDA,CR-V EX 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,22831.57,2739.79,;
JAPON,EL CARMEN,17/05/2019, 8703236900,2007,MAZDA,MAZDA3 i TOURING,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13086.01,1570.32,;
JAPON,TECUN UMAN,17/05/2019, 8711209000,1996,HONDA,XR250R,249,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,5937.74,712.53,;
ESTADOS UNIDOS,PUERTO BARRIOS,17/05/2019, 8703236900,2014,FORD,FOCUS SE,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,19062.06,2287.45,;
JAPON,TECUN UMAN,17/05/2019, 8703237900,2004,HONDA,CR-V EX 4X4,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,18081.38,2169.77,;
ESTADOS UNIDOS,EL CARMEN,17/05/2019, 8704315100,2006,TOYOTA,TACOMA REGULAR CAB 2WD,2700,LIVIANO,PICK UP,OCASIONAL,GASOLINA,3,2,1,35856.29,4302.75,;
CANADA,PUERTO BARRIOS,17/05/2019, 8703237900,2016,HONDA,CR-V LX 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,59977.92,7197.35,;
CANADA,TECUN UMAN,17/05/2019, 8703236900,2010,TOYOTA,COROLLA S,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,23597.73,2831.73,;
JAPON,PUERTO BARRIOS,17/05/2019, 8703237900,2010,TOYOTA,RAV4 2WD,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,33902.35,4068.28,;
