Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo_del_Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,Impuesto;
ESTADOS UNIDOS,PUERTO BARRIOS,02/05/2019, 8704315100,2015,CHEVROLET,SILVERADO 1500 LT 4WD DOB,5300,LIVIANO,PICK UP,OCASIONAL,GASOLINA,6,4,1,75629.89,9075.59,;
JAPON,EL CARMEN,02/05/2019, 8704315100,1995,TOYOTA,DX 4X4,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,38230.02,4587.6,;
CANADA,PUERTO QUETZAL,02/05/2019, 8703236900,2013,TOYOTA,COROLLA LE,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,64105.1,7692.61,;
JAPON,EL CARMEN,02/05/2019, 8704315100,1991,TOYOTA,DLX XTRA CAB 4X4,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,29838.01,3580.56,;
JAPON,EL CARMEN,02/05/2019, 8703237900,2007,TOYOTA,RAV4 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,32771.1,3932.53,;
COREA DEL SUR,PUERTO BARRIOS,02/05/2019, 8703236900,2016,HYUNDAI,ELANTRA GT,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,23899.4,2867.93,;
JAPON,EL CARMEN,02/05/2019, 8704315100,1982,TOYOTA,SR5 4WD,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,26566.03,3187.92,;
JAPON,G8; CENTRALSA,03/05/2019, 8703237900,2010,HONDA,CRV,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,26745.2,3209.42,
CANADA,SANTO TOMAS DE CASTILLA,02/05/2019, 8703236900,2007,HONDA,CIVIC EX,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12780.04,1533.6,;
JAPON,SANTO TOMAS DE CASTILLA,02/05/2019, 8703236900,2003,TOYOTA,RAV4 L 4WD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,16913.87,2029.66,;
MEXICO,EL CARMEN,02/05/2019, 8703236900,2015,MAZDA,MAZDA3 i SPORT,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,26362.36,3163.48,;
ESTADOS UNIDOS,EL CARMEN,02/05/2019, 8703236900,2008,TOYOTA,COROLLA CE,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,20826.5,2499.18,;
MEXICO,PUERTO BARRIOS,02/05/2019, 8703236900,2013,NISSAN,VERSA SV,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,15782.43,1893.89,;
JAPON,G8; CENTRALSA,03/05/2019, 8703900000,2010,HONDA,CIVIC HIBRIDO,1300,LIVIANO,AUTOMOVIL,OCASIONAL,OTROS,5,4,0,12235.57,1468.27,
JAPON,EL CARMEN,02/05/2019, 8703237900,2005,TOYOTA,RAV4 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,21921.42,2630.57,;
