Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,Impuesto;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,GL150GFA,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,325439.19,39052.7,;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,GL150GFA,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,325439.19,39052.7,;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,GL150GFA,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,325439.19,39052.7,;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,GL150GFA,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,325439.19,39052.7,;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,GL150GFA,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,325439.19,39052.7,;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,GL150GFA,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,325439.19,39052.7,;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,GL150GFA,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,325439.19,39052.7,;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,UR110EZ,110,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,264401.21,31728.15,;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,UR110EZ,110,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,264401.21,31728.15,;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,UR110EZ,110,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,264401.21,31728.15,;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,UR110EZ,110,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,264401.21,31728.15,;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,UR110EZ,110,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,264401.21,31728.15,;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,UR110EZ,110,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,264401.21,31728.15,;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,UR110EZ,110,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,264401.21,31728.15,;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,UR110EZ,110,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,264401.21,31728.15,;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,UR110EZ,110,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,264401.21,31728.15,;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,UR110EZ,110,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,264401.21,31728.15,;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,UR110EZ,110,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,264401.21,31728.15,;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,UR110EZ,110,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,264401.21,31728.15,;
COREA DEL SUR,PUERTO QUETZAL,08/03/2019, 8703337000,2002,HYUNDAI,TERRACAN JX290 4X4,2900,LIVIANO,CAMIONETA,OCASIONAL,DIESEL,7,5,0,14084.6,1690.15,;
